Year,Disposal Method,Region,Local Authority,Observation status,Unit multiplier,GeoCode,Value
2013/14,Other,Yorkshire and the Humber,,Undefined,Units,E12000003,0.2
2013/14,Landfill,West Midlands,,Undefined,Units,E12000005,21.9
2013/14,Incineration with EfW,West Midlands,,Undefined,Units,E12000005,36.0
2013/14,Incineration without EfW,West Midlands,,Undefined,Units,E12000005,0.0
2013/14,Recycled-composted,West Midlands,,Undefined,Units,E12000005,41.5
2013/14,Other,West Midlands,,Undefined,Units,E12000005,0.5
2013/14,Landfill,London,,Undefined,Units,E12000007,24.4
2013/14,Incineration with EfW,London,,Undefined,Units,E12000007,41.9
2013/14,Incineration without EfW,London,,Undefined,Units,E12000007,0.0
2013/14,Recycled-composted,London,,Undefined,Units,E12000007,30.5
2013/14,Other,London,,Undefined,Units,E12000007,3.2
2013/14,Landfill,South West,,Undefined,Units,E12000009,40.9
2013/14,Incineration with EfW,South West,,Undefined,Units,E12000009,9.9
2013/14,Incineration without EfW,South West,,Undefined,Units,E12000009,0.1
2013/14,Recycled-composted,South West,,Undefined,Units,E12000009,46.0
2013/14,Other,South West,,Undefined,Units,E12000009,3.1
2014/15,Landfill,,,Undefined,Units,,24.6
2014/15,Incineration with EfW,,,Undefined,Units,,30.1
2014/15,Incineration without EfW,,,Undefined,Units,,0.1
2014/15,Recycled-composted,,,Undefined,Units,,42.9
2014/15,Other,,,Undefined,Units,,2.3
2014/15,Landfill,North West,,Undefined,Units,E12000002,31.8
2014/15,Incineration with EfW,North West,,Undefined,Units,E12000002,17.299999999999997
2014/15,Incineration without EfW,North West,,Undefined,Units,E12000002,0.6
2014/15,Recycled-composted,North West,,Undefined,Units,E12000002,45.9
2014/15,Other,North West,,Undefined,Units,E12000002,4.5
2014/15,Landfill,East Midlands,,Undefined,Units,E12000004,25.2
2014/15,Incineration with EfW,East Midlands,,Undefined,Units,E12000004,27.700000000000003
2014/15,Incineration without EfW,East Midlands,,Undefined,Units,E12000004,0.0
2014/15,Recycled-composted,East Midlands,,Undefined,Units,E12000004,44.4
2014/15,Other,East Midlands,,Undefined,Units,E12000004,2.7
2014/15,Landfill,East of England,,Undefined,Units,E12000006,34.8
2014/15,Incineration with EfW,East of England,,Undefined,Units,E12000006,14.099999999999998
2014/15,Incineration without EfW,East of England,,Undefined,Units,E12000006,0.0
2014/15,Recycled-composted,East of England,,Undefined,Units,E12000006,48.2
2014/15,Other,East of England,,Undefined,Units,E12000006,2.9000000000000004
2014/15,Landfill,South East,,Undefined,Units,E12000008,16.400000000000002
2014/15,Incineration with EfW,South East,,Undefined,Units,E12000008,36.9
2014/15,Incineration without EfW,South East,,Undefined,Units,E12000008,0.0
2014/15,Recycled-composted,South East,,Undefined,Units,E12000008,46.0
2014/15,Other,South East,,Undefined,Units,E12000008,0.7000000000000001
2014/15,Landfill,North East,,Undefined,Units,E12000001,8.799999999999999
2014/15,Incineration with EfW,North East,,Undefined,Units,E12000001,50.8
2014/15,Incineration without EfW,North East,,Undefined,Units,E12000001,0.0
2014/15,Recycled-composted,North East,,Undefined,Units,E12000001,39.3
2014/15,Other,North East,,Undefined,Units,E12000001,1.1
2014/15,Landfill,Yorkshire and the Humber,,Undefined,Units,E12000003,30.0
2014/15,Incineration with EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,26.3
2014/15,Incineration without EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,0.0
2014/15,Recycled-composted,Yorkshire and the Humber,,Undefined,Units,E12000003,43.0
2014/15,Other,Yorkshire and the Humber,,Undefined,Units,E12000003,0.6
2014/15,Landfill,West Midlands,,Undefined,Units,E12000005,14.099999999999998
2014/15,Incineration with EfW,West Midlands,,Undefined,Units,E12000005,43.0
2014/15,Incineration without EfW,West Midlands,,Undefined,Units,E12000005,0.0
2014/15,Recycled-composted,West Midlands,,Undefined,Units,E12000005,41.3
2014/15,Other,West Midlands,,Undefined,Units,E12000005,1.5
2014/15,Landfill,London,,Undefined,Units,E12000007,20.6
2014/15,Incineration with EfW,London,,Undefined,Units,E12000007,45.9
2014/15,Incineration without EfW,London,,Undefined,Units,E12000007,0.0
2014/15,Recycled-composted,London,,Undefined,Units,E12000007,30.2
2014/15,Other,London,,Undefined,Units,E12000007,3.3000000000000003
2014/15,Landfill,South West,,Undefined,Units,E12000009,36.1
2014/15,Incineration with EfW,South West,,Undefined,Units,E12000009,14.099999999999998
2014/15,Incineration without EfW,South West,,Undefined,Units,E12000009,0.1
2014/15,Recycled-composted,South West,,Undefined,Units,E12000009,47.3
2014/15,Other,South West,,Undefined,Units,E12000009,2.4
2014/15,Landfill,North East,Stockton-on-Tees Borough Council,Undefined,Units,,6.278125869563131
2014/15,Landfill,North East,Redcar and Cleveland Borough Council,Undefined,Units,,1.2645535067684253
2014/15,Landfill,North East,Middlesbrough Borough Council,Undefined,Units,,5.226255008248881
2014/15,Landfill,North East,Hartlepool Borough Council,Undefined,Units,,7.366180695966798
2014/15,Landfill,North East,Darlington Borough Council,Undefined,Units,,33.2761957423279
2014/15,Landfill,North East,County Durham,Undefined,Units,E06000047,2.435023056334849
2014/15,Landfill,North East,Northumberland,Undefined,Units,E06000057,5.168354709762857
2014/15,Landfill,North East,Sunderland City Council,Undefined,Units,,4.084975837137092
2014/15,Landfill,North East,South Tyneside MBC,Undefined,Units,,3.0210026659730804
2014/15,Landfill,North East,North Tyneside Council,Undefined,Units,,8.262501326592634
2014/15,Landfill,North East,Newcastle-upon-Tyne City Council MBC,Undefined,Units,,33.8919636927164
2014/15,Landfill,North East,Gateshead MBC,Undefined,Units,,5.6388593294852365
2014/15,Landfill,North West,Warrington Borough Council,Undefined,Units,,1.7673314037933483
2014/15,Landfill,North West,Cheshire East,Undefined,Units,E06000049,24.79992187058273
2014/15,Landfill,North West,Cheshire West and Chester,Undefined,Units,E06000050,24.70077631678865
2014/15,Landfill,North West,Halton Borough Council,Undefined,Units,,17.080152671755723
2014/15,Landfill,North West,Cumbria County Council,Undefined,Units,,14.396022206569569
2014/15,Landfill,North West,Wigan MBC,Undefined,Units,,7.84032525305969
2014/15,Landfill,North West,Greater Manchester WDA (MBC),Undefined,Units,,30.280089527916346
2014/15,Landfill,North West,Blackpool Borough Council,Undefined,Units,,26.002036602268547
2014/15,Landfill,North West,Blackburn with Darwen Borough Council,Undefined,Units,,67.12169528267802
2014/15,Landfill,North West,Lancashire County Council,Undefined,Units,,38.89227479980576
2014/15,Landfill,North West,Merseyside WDA (MBC),Undefined,Units,,45.63179266690553
2014/15,Landfill,Yorkshire and the Humber,East Riding of Yorkshire Council,Undefined,Units,,8.242937853107344
2014/15,Landfill,Yorkshire and the Humber,Kingston-upon-Hull City Council,Undefined,Units,,0.373056822619374
2014/15,Landfill,Yorkshire and the Humber,North East Lincolnshire Council,Undefined,Units,,7.533023467875733
2014/15,Landfill,Yorkshire and the Humber,North Lincolnshire Council,Undefined,Units,,49.230818231041184
2014/15,Landfill,Yorkshire and the Humber,York City Council,Undefined,Units,,57.37283213011368
2014/15,Landfill,Yorkshire and the Humber,North Yorkshire County Council,Undefined,Units,,44.40842145072695
2014/15,Landfill,Yorkshire and the Humber,Sheffield City Council,Undefined,Units,,6.829124745683597
2014/15,Landfill,Yorkshire and the Humber,Rotherham MBC,Undefined,Units,,33.18522515534496
2014/15,Landfill,Yorkshire and the Humber,Doncaster MBC,Undefined,Units,,54.5643592712964
2014/15,Landfill,Yorkshire and the Humber,Barnsley Metropolitan Borough Council,Undefined,Units,,8.272978217497062
2014/15,Landfill,Yorkshire and the Humber,Leeds City Council MBC,Undefined,Units,,45.97194141342429
2014/15,Landfill,Yorkshire and the Humber,Kirklees MBC,Undefined,Units,,8.074007555272386
2014/15,Landfill,Yorkshire and the Humber,Wakefield City MDC,Undefined,Units,,65.15214131371692
2014/15,Landfill,Yorkshire and the Humber,Bradford City MDC (MBC),Undefined,Units,,19.185439487515264
2014/15,Landfill,Yorkshire and the Humber,Calderdale MBC,Undefined,Units,,16.059834271980485
2014/15,Landfill,East Midlands,Derby City Council,Undefined,Units,,36.698606271777
2014/15,Landfill,East Midlands,Derbyshire County Council,Undefined,Units,,27.371068209076487
2014/15,Landfill,East Midlands,Rutland County Council,Undefined,Units,,0.0048222983073732
2014/15,Landfill,East Midlands,Leicester City Council,Undefined,Units,,21.698277362101965
2014/15,Landfill,East Midlands,Leicestershire County Council,Undefined,Units,,28.155391911779244
2014/15,Landfill,East Midlands,Lincolnshire County Council,Undefined,Units,,4.110550534700054
2014/15,Landfill,East Midlands,Northamptonshire County Council,Undefined,Units,,43.136315228966986
2014/15,Landfill,East Midlands,Nottingham City Council,Undefined,Units,,9.15461915378866
2014/15,Landfill,East Midlands,Nottinghamshire County Council,Undefined,Units,,28.354252978129647
2014/15,Landfill,West Midlands,Herefordshire Council,Undefined,Units,,56.89459056955568
2014/15,Landfill,West Midlands,Worcestershire County Council,Undefined,Units,,48.28050443081118
2014/15,Landfill,West Midlands,Telford and Wrekin Council,Undefined,Units,,51.47920720552766
2014/15,Landfill,West Midlands,Shropshire,Undefined,Units,E06000051,12.65809304860402
2014/15,Landfill,West Midlands,Stoke-on-Trent City Council,Undefined,Units,,10.059982862039416
2014/15,Landfill,West Midlands,Staffordshire County Council,Undefined,Units,,2.2692080814039226
2014/15,Landfill,West Midlands,Warwickshire County Council,Undefined,Units,,13.73186114173157
2014/15,Landfill,West Midlands,Wolverhampton MBC,Undefined,Units,,5.772635958678408
2014/15,Landfill,West Midlands,Walsall MBC,Undefined,Units,,9.43265022293124
2014/15,Landfill,West Midlands,Solihull MBC,Undefined,Units,,8.964696138316596
2014/15,Landfill,West Midlands,Sandwell MBC,Undefined,Units,,4.471436102224886
2014/15,Landfill,West Midlands,Dudley MBC,Undefined,Units,,3.397457451298817
2014/15,Landfill,West Midlands,Coventry City Council,Undefined,Units,,8.314017625841318
2014/15,Landfill,West Midlands,Birmingham City Council,Undefined,Units,,3.7699599106568606
2014/15,Landfill,East of England,Luton Borough Council,Undefined,Units,,51.206907620209286
2014/15,Landfill,East of England,Bedford,Undefined,Units,E06000055,38.71981055709263
2014/15,Landfill,East of England,Central Bedfordshire,Undefined,Units,E06000056,22.067562199541157
2014/15,Landfill,East of England,Peterborough City Council,Undefined,Units,,52.416906405285246
2014/15,Landfill,East of England,Cambridgeshire County Council,Undefined,Units,,32.884493033805946
2014/15,Landfill,East of England,Thurrock Council,Undefined,Units,,18.782246840336843
2014/15,Landfill,East of England,Southend-on-Sea Borough Council,Undefined,Units,,46.63840016907064
2014/15,Landfill,East of England,Essex County Council,Undefined,Units,,45.974218337335145
2014/15,Landfill,East of England,Hertfordshire County Council,Undefined,Units,,26.1104376853216
2014/15,Landfill,East of England,Norfolk County Council,Undefined,Units,,37.86939848583684
2014/15,Landfill,East of England,Suffolk County Council,Undefined,Units,,20.519721956924776
2014/15,Landfill,London,Bexley LB,Undefined,Units,,0.2228602908034656
2014/15,Landfill,London,Tower Hamlets LB,Undefined,Units,,1.6889501659924169
2014/15,Landfill,London,City of London,Undefined,Units,E09000001,0.0
2014/15,Landfill,London,Westminster City Council,Undefined,Units,,1.9995441124239968
2014/15,Landfill,London,East London Waste Authority,Undefined,Units,,28.43565234306084
2014/15,Landfill,London,North London Waste Authority,Undefined,Units,,12.857815726007798
2014/15,Landfill,London,Southwark LB,Undefined,Units,,4.774490578906983
2014/15,Landfill,London,Lewisham LB,Undefined,Units,,0.289339316107071
2014/15,Landfill,London,Greenwich LB,Undefined,Units,,5.688487191543458
2014/15,Landfill,London,Sutton LB,Undefined,Units,,60.9567504740931
2014/15,Landfill,London,Merton LB,Undefined,Units,,55.72306635559398
2014/15,Landfill,London,Royal Borough of Kingston upon Thames,Undefined,Units,,15.758890642068213
2014/15,Landfill,London,Croydon LB,Undefined,Units,,54.86963941472048
2014/15,Landfill,London,Bromley LB,Undefined,Units,,27.40572756060124
2014/15,Landfill,London,West London Waste Authority,Undefined,Units,,40.89355013318083
2014/15,Landfill,London,Western Riverside Waste Authority,Undefined,Units,,0.0
2014/15,Landfill,South East,Wokingham Council,Undefined,Units,,16.057682305211692
2014/15,Landfill,South East,Windsor and Maidenhead Borough Council,Undefined,Units,,51.45525599243803
2014/15,Landfill,South East,Slough Borough Council,Undefined,Units,,6.171029668411868
2014/15,Landfill,South East,Reading Borough Council,Undefined,Units,,26.670436339647534
2014/15,Landfill,South East,West Berkshire District Council,Undefined,Units,,15.323438349365412
2014/15,Landfill,South East,Bracknell Forest Borough Council,Undefined,Units,,22.890473339501803
2014/15,Landfill,South East,Milton Keynes Council,Undefined,Units,,21.37366323045252
2014/15,Landfill,South East,Buckinghamshire County Council,Undefined,Units,,46.66319062534491
2014/15,Landfill,South East,Brighton and Hove Council,Undefined,Units,,3.884437064470088
2014/15,Landfill,South East,East Sussex County Council,Undefined,Units,,2.9242093453409743
2014/15,Landfill,South East,Southampton City Council,Undefined,Units,,15.226207071347105
2014/15,Landfill,South East,Portsmouth City Council,Undefined,Units,,6.517020167109299
2014/15,Landfill,South East,Hampshire County Council,Undefined,Units,,5.233350701597073
2014/15,Landfill,South East,Isle of Wight Council,Undefined,Units,,31.526403935730364
2014/15,Landfill,South East,Medway Borough Council,Undefined,Units,,13.768038071845258
2014/15,Landfill,South East,Kent County Council,Undefined,Units,,11.068688339767036
2014/15,Landfill,South East,Oxfordshire County Council,Undefined,Units,,19.42318524199425
2014/15,Landfill,South East,Surrey County Council,Undefined,Units,,5.898528379289933
2014/15,Landfill,South East,West Sussex County Council,Undefined,Units,,38.07371630555031
2014/15,Landfill,South West,Council of the Isles of Scilly,Undefined,Units,,28.064881176914376
2014/15,Landfill,South West,Bath and North East Somerset Council,Undefined,Units,,19.56847224317831
2014/15,Landfill,South West,Bristol City Council,Undefined,Units,,29.15497085912048
2014/15,Landfill,South West,Cornwall,Undefined,Units,E06000052,63.4770390909057
2014/15,Landfill,South West,Torbay Council,Undefined,Units,,59.35655667502376
2014/15,Landfill,South West,Plymouth City Council,Undefined,Units,,62.1765159525835
2014/15,Landfill,South West,Devon County Council,Undefined,Units,,31.401086602637147
2014/15,Landfill,South West,Poole Borough Council,Undefined,Units,,21.27178509447337
2014/15,Landfill,South West,Bournemouth Borough Council,Undefined,Units,,9.53861016023689
2014/15,Landfill,South West,Dorset Waste Partnership,Undefined,Units,,23.639073918688972
2014/15,Landfill,South West,Gloucestershire County Council,Undefined,Units,,52.296330099758734
2014/15,Landfill,South West,North Somerset Council,Undefined,Units,,18.21169433007773
2014/15,Landfill,South West,Somerset County Council,Undefined,Units,,45.19799641574374
2014/15,Landfill,South West,South Gloucestershire Council,Undefined,Units,,14.681796540231709
2014/15,Landfill,South West,Swindon Borough Council,Undefined,Units,,38.37653630158394
2014/15,Landfill,South West,Wiltshire,Undefined,Units,E06000054,20.206194367486944
2014/15,Incineration with EfW,North East,Stockton-on-Tees Borough Council,Undefined,Units,,57.74474903808326
2014/15,Incineration with EfW,North East,Redcar and Cleveland Borough Council,Undefined,Units,,53.72263383655507
2014/15,Incineration with EfW,North East,Middlesbrough Borough Council,Undefined,Units,,51.232913033231206
2014/15,Incineration with EfW,North East,Hartlepool Borough Council,Undefined,Units,,54.46419069915931
2014/15,Incineration with EfW,North East,Darlington Borough Council,Undefined,Units,,10.225785641876325
2014/15,Incineration with EfW,North East,County Durham,Undefined,Units,E06000047,53.37299667859792
2014/15,Incineration with EfW,North East,Northumberland,Undefined,Units,E06000057,54.1077077764426
2014/15,Incineration with EfW,North East,Sunderland City Council,Undefined,Units,,63.81453048094894
2014/15,Incineration with EfW,North East,South Tyneside MBC,Undefined,Units,,55.92301189934326
2014/15,Incineration with EfW,North East,North Tyneside Council,Undefined,Units,,52.93345811344056
2014/15,Incineration with EfW,North East,Newcastle-upon-Tyne City Council MBC,Undefined,Units,,27.01571839716626
2014/15,Incineration with EfW,North East,Gateshead MBC,Undefined,Units,,59.22952070770586
2014/15,Incineration with EfW,North West,Warrington Borough Council,Undefined,Units,,43.034042598305824
2014/15,Incineration with EfW,North West,Cheshire East,Undefined,Units,E06000049,16.10802419955898
2014/15,Incineration with EfW,North West,Cheshire West and Chester,Undefined,Units,E06000050,13.849865356644257
2014/15,Incineration with EfW,North West,Halton Borough Council,Undefined,Units,,34.862207271315825
2014/15,Incineration with EfW,North West,Cumbria County Council,Undefined,Units,,19.613657191762663
2014/15,Incineration with EfW,North West,Wigan MBC,Undefined,Units,,44.03725929741997
2014/15,Incineration with EfW,North West,Greater Manchester WDA (MBC),Undefined,Units,,24.623005535730417
2014/15,Incineration with EfW,North West,Blackpool Borough Council,Undefined,Units,,14.401889514326932
2014/15,Incineration with EfW,North West,Blackburn with Darwen Borough Council,Undefined,Units,,0.0
2014/15,Incineration with EfW,North West,Lancashire County Council,Undefined,Units,,4.938613616141995
2014/15,Incineration with EfW,North West,Merseyside WDA (MBC),Undefined,Units,,8.133427741095243
2014/15,Incineration with EfW,Yorkshire and the Humber,East Riding of Yorkshire Council,Undefined,Units,,33.43297380585516
2014/15,Incineration with EfW,Yorkshire and the Humber,Kingston-upon-Hull City Council,Undefined,Units,,54.34249773590236
2014/15,Incineration with EfW,Yorkshire and the Humber,North East Lincolnshire Council,Undefined,Units,,60.369305588976566
2014/15,Incineration with EfW,Yorkshire and the Humber,North Lincolnshire Council,Undefined,Units,,1.3462008047477996
2014/15,Incineration with EfW,Yorkshire and the Humber,York City Council,Undefined,Units,,0.0
2014/15,Incineration with EfW,Yorkshire and the Humber,North Yorkshire County Council,Undefined,Units,,8.55107250584823
2014/15,Incineration with EfW,Yorkshire and the Humber,Sheffield City Council,Undefined,Units,,63.63567177582612
2014/15,Incineration with EfW,Yorkshire and the Humber,Rotherham MBC,Undefined,Units,,24.01375972750344
2014/15,Incineration with EfW,Yorkshire and the Humber,Doncaster MBC,Undefined,Units,,4.653392605874955
2014/15,Incineration with EfW,Yorkshire and the Humber,Barnsley Metropolitan Borough Council,Undefined,Units,,35.660079987610125
2014/15,Incineration with EfW,Yorkshire and the Humber,Leeds City Council MBC,Undefined,Units,,12.889046656274598
2014/15,Incineration with EfW,Yorkshire and the Humber,Kirklees MBC,Undefined,Units,,62.00942151496756
2014/15,Incineration with EfW,Yorkshire and the Humber,Wakefield City MDC,Undefined,Units,,0.0
2014/15,Incineration with EfW,Yorkshire and the Humber,Bradford City MDC (MBC),Undefined,Units,,29.588207188235504
2014/15,Incineration with EfW,Yorkshire and the Humber,Calderdale MBC,Undefined,Units,,21.218208559027158
2014/15,Incineration with EfW,East Midlands,Derby City Council,Undefined,Units,,30.90592334494773
2014/15,Incineration with EfW,East Midlands,Derbyshire County Council,Undefined,Units,,25.471943874853302
2014/15,Incineration with EfW,East Midlands,Rutland County Council,Undefined,Units,,37.39210107537252
2014/15,Incineration with EfW,East Midlands,Leicester City Council,Undefined,Units,,39.14927946596644
2014/15,Incineration with EfW,East Midlands,Leicestershire County Council,Undefined,Units,,18.04017275811322
2014/15,Incineration with EfW,East Midlands,Lincolnshire County Council,Undefined,Units,,44.8931863294224
2014/15,Incineration with EfW,East Midlands,Northamptonshire County Council,Undefined,Units,,4.318704108514097
2014/15,Incineration with EfW,East Midlands,Nottingham City Council,Undefined,Units,,59.40280963119597
2014/15,Incineration with EfW,East Midlands,Nottinghamshire County Council,Undefined,Units,,26.61101754299694
2014/15,Incineration with EfW,West Midlands,Herefordshire Council,Undefined,Units,,0.8020920060508694
2014/15,Incineration with EfW,West Midlands,Worcestershire County Council,Undefined,Units,,7.488752556237219
2014/15,Incineration with EfW,West Midlands,Telford and Wrekin Council,Undefined,Units,,1.6615592556773826
2014/15,Incineration with EfW,West Midlands,Shropshire,Undefined,Units,E06000051,36.2998552967044
2014/15,Incineration with EfW,West Midlands,Stoke-on-Trent City Council,Undefined,Units,,55.70865467009426
2014/15,Incineration with EfW,West Midlands,Staffordshire County Council,Undefined,Units,,43.56059209556113
2014/15,Incineration with EfW,West Midlands,Warwickshire County Council,Undefined,Units,,30.60267090734951
2014/15,Incineration with EfW,West Midlands,Wolverhampton MBC,Undefined,Units,,52.31897982356538
2014/15,Incineration with EfW,West Midlands,Walsall MBC,Undefined,Units,,48.54828813351331
2014/15,Incineration with EfW,West Midlands,Solihull MBC,Undefined,Units,,46.10415156848535
2014/15,Incineration with EfW,West Midlands,Sandwell MBC,Undefined,Units,,54.69782421883463
2014/15,Incineration with EfW,West Midlands,Dudley MBC,Undefined,Units,,56.24083387584865
2014/15,Incineration with EfW,West Midlands,Coventry City Council,Undefined,Units,,57.23130508075411
2014/15,Incineration with EfW,West Midlands,Birmingham City Council,Undefined,Units,,68.68038046861997
2014/15,Incineration with EfW,East of England,Luton Borough Council,Undefined,Units,,14.55029851704436
2014/15,Incineration with EfW,East of England,Bedford,Undefined,Units,E06000055,17.020865299810314
2014/15,Incineration with EfW,East of England,Central Bedfordshire,Undefined,Units,E06000056,24.31882483603966
2014/15,Incineration with EfW,East of England,Peterborough City Council,Undefined,Units,,2.1434338150847707
2014/15,Incineration with EfW,East of England,Cambridgeshire County Council,Undefined,Units,,0.0
2014/15,Incineration with EfW,East of England,Thurrock Council,Undefined,Units,,39.40335437432343
2014/15,Incineration with EfW,East of England,Southend-on-Sea Borough Council,Undefined,Units,,0.4306017858086332
2014/15,Incineration with EfW,East of England,Essex County Council,Undefined,Units,,1.0856598293450874
2014/15,Incineration with EfW,East of England,Hertfordshire County Council,Undefined,Units,,24.669078567032805
2014/15,Incineration with EfW,East of England,Norfolk County Council,Undefined,Units,,18.852912688529127
2014/15,Incineration with EfW,East of England,Suffolk County Council,Undefined,Units,,27.021864482091143
2014/15,Incineration with EfW,London,Bexley LB,Undefined,Units,,50.02504048211275
2014/15,Incineration with EfW,London,Tower Hamlets LB,Undefined,Units,,74.35281098633965
2014/15,Incineration with EfW,London,City of London,Undefined,Units,E09000001,66.99248120300751
2014/15,Incineration with EfW,London,Westminster City Council,Undefined,Units,,83.80220840423446
2014/15,Incineration with EfW,London,East London Waste Authority,Undefined,Units,,26.20726780875521
2014/15,Incineration with EfW,London,North London Waste Authority,Undefined,Units,,56.198361741384616
2014/15,Incineration with EfW,London,Southwark LB,Undefined,Units,,46.59988063773552
2014/15,Incineration with EfW,London,Lewisham LB,Undefined,Units,,81.61999071638559
2014/15,Incineration with EfW,London,Greenwich LB,Undefined,Units,,57.74428364940878
2014/15,Incineration with EfW,London,Sutton LB,Undefined,Units,,1.2956505780877223
2014/15,Incineration with EfW,London,Merton LB,Undefined,Units,,7.357974395717619
2014/15,Incineration with EfW,London,Royal Borough of Kingston upon Thames,Undefined,Units,,36.48652749120039
2014/15,Incineration with EfW,London,Croydon LB,Undefined,Units,,6.526561956830896
2014/15,Incineration with EfW,London,Bromley LB,Undefined,Units,,31.529930721683694
2014/15,Incineration with EfW,London,West London Waste Authority,Undefined,Units,,22.860773274536008
2014/15,Incineration with EfW,London,Western Riverside Waste Authority,Undefined,Units,,80.45874016654611
2014/15,Incineration with EfW,South East,Wokingham Council,Undefined,Units,,39.806772079475714
2014/15,Incineration with EfW,South East,Windsor and Maidenhead Borough Council,Undefined,Units,,0.860597339202325
2014/15,Incineration with EfW,South East,Slough Borough Council,Undefined,Units,,65.73472949389179
2014/15,Incineration with EfW,South East,Reading Borough Council,Undefined,Units,,38.39142668659208
2014/15,Incineration with EfW,South East,West Berkshire District Council,Undefined,Units,,29.73576611283118
2014/15,Incineration with EfW,South East,Bracknell Forest Borough Council,Undefined,Units,,35.95493387035324
2014/15,Incineration with EfW,South East,Milton Keynes Council,Undefined,Units,,26.447797558925807
2014/15,Incineration with EfW,South East,Buckinghamshire County Council,Undefined,Units,,0.1986671791924674
2014/15,Incineration with EfW,South East,Brighton and Hove Council,Undefined,Units,,68.93756355121879
2014/15,Incineration with EfW,South East,East Sussex County Council,Undefined,Units,,54.62642893962825
2014/15,Incineration with EfW,South East,Southampton City Council,Undefined,Units,,58.45266759599544
2014/15,Incineration with EfW,South East,Portsmouth City Council,Undefined,Units,,67.44157844314283
2014/15,Incineration with EfW,South East,Hampshire County Council,Undefined,Units,,54.15687177374403
2014/15,Incineration with EfW,South East,Isle of Wight Council,Undefined,Units,,16.419375098131574
2014/15,Incineration with EfW,South East,Medway Borough Council,Undefined,Units,,29.61928154743629
2014/15,Incineration with EfW,South East,Kent County Council,Undefined,Units,,41.23535547502102
2014/15,Incineration with EfW,South East,Oxfordshire County Council,Undefined,Units,,21.364358155949372
2014/15,Incineration with EfW,South East,Surrey County Council,Undefined,Units,,38.24820005231205
2014/15,Incineration with EfW,South East,West Sussex County Council,Undefined,Units,,17.751364866931098
2014/15,Incineration with EfW,South West,Council of the Isles of Scilly,Undefined,Units,,0.0
2014/15,Incineration with EfW,South West,Bath and North East Somerset Council,Undefined,Units,,18.39273900579162
2014/15,Incineration with EfW,South West,Bristol City Council,Undefined,Units,,23.000439649633066
2014/15,Incineration with EfW,South West,Cornwall,Undefined,Units,E06000052,0.0
2014/15,Incineration with EfW,South West,Torbay Council,Undefined,Units,,0.1152342837566376
2014/15,Incineration with EfW,South West,Plymouth City Council,Undefined,Units,,0.0
2014/15,Incineration with EfW,South West,Devon County Council,Undefined,Units,,13.165645857073091
2014/15,Incineration with EfW,South West,Poole Borough Council,Undefined,Units,,31.42919997066804
2014/15,Incineration with EfW,South West,Bournemouth Borough Council,Undefined,Units,,34.185269966608566
2014/15,Incineration with EfW,South West,Dorset Waste Partnership,Undefined,Units,,20.4693220331038
2014/15,Incineration with EfW,South West,Gloucestershire County Council,Undefined,Units,,0.8298128642804653
2014/15,Incineration with EfW,South West,North Somerset Council,Undefined,Units,,16.55281280578993
2014/15,Incineration with EfW,South West,Somerset County Council,Undefined,Units,,1.7415136359205463
2014/15,Incineration with EfW,South West,South Gloucestershire Council,Undefined,Units,,32.901920330106336
2014/15,Incineration with EfW,South West,Swindon Borough Council,Undefined,Units,,18.271276327596464
2014/15,Incineration with EfW,South West,Wiltshire,Undefined,Units,E06000054,31.39633242536416
2014/15,Incineration without EfW,North East,Stockton-on-Tees Borough Council,Undefined,Units,,0.0
2014/15,Incineration without EfW,North East,Redcar and Cleveland Borough Council,Undefined,Units,,0.0
2014/15,Incineration without EfW,North East,Middlesbrough Borough Council,Undefined,Units,,0.0
2014/15,Incineration without EfW,North East,Hartlepool Borough Council,Undefined,Units,,0.0
2014/15,Incineration without EfW,North East,Darlington Borough Council,Undefined,Units,,0.0110588885816975
2014/15,Incineration without EfW,North East,County Durham,Undefined,Units,E06000047,0.0
2014/15,Incineration without EfW,North East,Northumberland,Undefined,Units,E06000057,0.0
2014/15,Incineration without EfW,North East,Sunderland City Council,Undefined,Units,,0.0014892365428862
2014/15,Incineration without EfW,North East,South Tyneside MBC,Undefined,Units,,0.0013004746732557
2014/15,Incineration without EfW,North East,North Tyneside Council,Undefined,Units,,0.0
2014/15,Incineration without EfW,North East,Newcastle-upon-Tyne City Council MBC,Undefined,Units,,0.0
2014/15,Incineration without EfW,North East,Gateshead MBC,Undefined,Units,,0.0118237614609869
2014/15,Incineration without EfW,North West,Warrington Borough Council,Undefined,Units,,0.0
2014/15,Incineration without EfW,North West,Cheshire East,Undefined,Units,E06000049,0.0
2014/15,Incineration without EfW,North West,Cheshire West and Chester,Undefined,Units,E06000050,0.0
2014/15,Incineration without EfW,North West,Halton Borough Council,Undefined,Units,,0.0
2014/15,Incineration without EfW,North West,Cumbria County Council,Undefined,Units,,0.0
2014/15,Incineration without EfW,North West,Wigan MBC,Undefined,Units,,0.0
2014/15,Incineration without EfW,North West,Greater Manchester WDA (MBC),Undefined,Units,,0.0
2014/15,Incineration without EfW,North West,Blackpool Borough Council,Undefined,Units,,0.0
2014/15,Incineration without EfW,North West,Blackburn with Darwen Borough Council,Undefined,Units,,0.0
