Year,Units,Type of expenditure,Area of spending,Value
2001,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,13.516485375467324
2002,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,16.019351241541838
2003,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,16.449602342181908
2004,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,17.998211855133572
2005,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,155.1645084774379
2006,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,46.870556051496784
2007,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,56.5729112136349
2008,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,47.667726668370435
2009,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,59.7168349113804
2010,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,55.4338387017105
2011,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,50.375206802233066
2012,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,53.2454281453575
2013,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,52.163848144548766
2014,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,60.31258514353652
2015,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,53.616955920749504
2016,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,51.501871341287874
2017,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,54.45168246007734
2000,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2001,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.10150051596095612
2002,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.2358264115474087
2003,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.2682911696991953
2004,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.4503723077744268
2005,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.9435008516336634
2006,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.7726819131604169
2007,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.1956975885164655
2008,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.2588000090580003
2009,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.4176002441355274
2010,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.2230737975923964
2011,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.15801507779872356
2012,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.2197629699395652
2013,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2014,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2015,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2016,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2017,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2000,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,4.160574397013897
2001,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,6.749784311403582
2002,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,4.3122543825811865
2003,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,3.554857998514338
2004,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,3.669700285569404
2005,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,4.585083086009207
2006,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,3.2222479782859943
2007,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,3.114853283887076
2008,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,3.364400117754004
2009,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,4.513294946233969
2010,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,8.078458241381782
2011,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,4.139995038326557
2012,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,2.605760929283416
2013,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,2.636271033621035
2014,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,7.600995714958016
2015,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,7.049608355091383
2016,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,1.8583934645480984
2017,Central government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.938822111380644
2000,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,4.6360686138154845
2001,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,5.311860335290038
2002,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,6.384157855461992
2003,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,6.438988072780687
2004,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,6.188449117937496
2005,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,7.514901520029531
2006,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,7.907659579365117
2007,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,11.12214628068579
2008,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,8.96095031363326
2009,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,8.25563559560235
2010,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,10.293262374620577
2011,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,8.896248880068136
2012,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,7.1736912330272355
2013,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,8.033606995945759
2014,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,7.895127932033786
2015,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,8.739056980494547
2016,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,8.895916256525322
2017,Central government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,8.509968170901965
2000,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,4.024718906499157
2001,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,4.9904420347470095
2002,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,6.182020931278499
2003,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,6.656974648161283
2004,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,7.639648776321759
2005,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,8.690139422941638
2006,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,8.877621980992025
2007,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,10.469820985630905
2008,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,8.15220028532701
2009,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,8.721420483291977
2010,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,12.396529609063167
2011,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,9.243882051225329
2012,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,10.485833137116396
2013,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,9.64032839513491
2014,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,9.241943873380723
2015,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,11.780064506220244
2016,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,10.190698588382602
2017,Central government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,12.568102458805392
2000,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,15.06297751082174
2001,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,12.230812173295211
2002,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,18.9840261295664
2003,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,25.77272048922895
2004,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,18.915636926525927
2005,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,27.229103525217127
2006,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,25.67934358205471
2007,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,29.82757411638461
2008,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,28.176850986189784
2009,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,35.81725170854716
2010,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,32.93525283024881
2011,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,30.496910015153645
2012,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,31.127854956439837
2013,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,25.707542387026425
2014,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,32.184256805290666
2015,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,28.8434956227922
2016,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,33.8623661613969
2017,Central government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,30.224015069609123
2000,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,87.06638748363365
2001,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,90.16629167864937
2002,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,100.7484119617894
2003,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,112.31339091532564
2004,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,106.0543382529558
2005,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,115.4547094762246
2006,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,118.45049328342137
2007,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,123.6808759424062
2008,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,140.98130493434567
2009,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,141.61466740549787
2010,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,145.10950533385383
2011,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,141.51830367653682
2012,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,145.40459932501375
2013,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,125.05908210970318
2014,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,131.27585267381664
2015,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,135.73951773921056
2016,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,135.23620637916406
2017,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,136.68947095859795
2000,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,5.213454448503128
2001,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,7.849373234313941
2002,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,10.814325443816884
2003,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,10.882560570923607
2004,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,9.157570258080012
2005,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,9.749508800214523
2006,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,12.921871994555056
2007,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,19.56975885164655
2008,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,31.816226113567915
2009,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,34.21109692341051
2010,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,34.99071853663589
2011,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,34.00484474228531
2012,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,35.14637783533475
2013,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,16.301202545171492
2014,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,14.149307705644862
2015,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,10.81247120258025
2016,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,10.114534921802765
2017,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,10.372470101544213
2000,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,31.569419608362583
2001,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,33.44442000913505
2002,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,34.3801218548758
2003,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,41.786349680649664
2004,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,39.3992367023406
2005,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,43.15274947735017
2006,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,41.60974302572372
2007,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,40.03646498399357
2008,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,42.831401499099044
2009,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,39.31866914014504
2010,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,42.03347700348154
2011,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,38.99812120072498
2012,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,39.306176909190796
2013,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,41.18198537727535
2014,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,41.70485225274317
2015,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,43.787436645676536
2016,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,45.80482908111585
2017,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,45.36630718865176
2000,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,49.9438747004811
2001,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,48.21274508145415
2002,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,54.492745811133354
2003,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,58.235952022831576
2004,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,56.11305345752489
2005,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,59.17571130860258
2006,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,59.858188208874
2007,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,59.80192142415658
2008,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,61.83702716429595
2009,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,63.73222187422202
2010,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,63.113950875963
2011,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,64.09091555516228
2012,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,64.61031316223217
2013,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,61.523390275747715
2014,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,69.81769994798505
2015,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,73.64460144371064
2016,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,71.15209731888659
2017,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,71.92588756545257
2000,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2001,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.016916752660159354
2002,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.16844743681957766
2003,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.16768198106199705
2004,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.1668045584349729
2005,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.19863175823866602
2006,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.2466006105831118
2007,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.22831385326920975
2008,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.2426250084918753
2009,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.256984765621863
2010,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.7488906062030449
2011,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.7742738812137454
2012,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.8790518797582607
2013,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.8891565024638994
2014,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,1.068164367275159
2015,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,1.4129933957917369
2016,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,1.5842042648606738
2017,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,1.9079288069993727
2000,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0509458089430273
2001,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.016916752660159354
2002,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.033689487363915534
2003,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.08384099053099853
2004,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.03336091168699458
2005,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",1.075922023792774
2006,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",1.8084044776094863
2007,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",2.1689816060574927
2008,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",2.490950087183253
2009,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",2.248616699191301
2010,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",2.6609517284235853
2011,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",2.2280125969620017
2012,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",2.1348402794129187
2013,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",1.8407099524691253
2014,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",1.9970029475144282
2015,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",1.9966211027491936
2016,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",2.8637538634019872
2017,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",3.0738853001656565
2000,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",0.2886929173438214
2001,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",0.6259198484258961
2002,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",0.8590819277798459
2003,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",1.1570056693277797
2004,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",1.1843123648883076
2005,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",2.102186108025882
2006,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",2.005684966075976
2007,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",1.8754352232827944
2008,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",1.7630750617076272
2009,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",1.8470780029071403
2010,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",1.5615165831467746
2011,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",1.422135700188512
2012,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",3.327839259084844
2013,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",3.3226374565756243
2014,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",2.538825452654001
2015,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",4.085393948702197
2016,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",3.716786929096196
2017,Central government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",4.0429919957843845
2000,Local government expenditure (GBP (£million) per capita),,,194.08655013661968
2001,Local government expenditure (GBP (£million) per capita),,,157.71488505066566
2002,Local government expenditure (GBP (£million) per capita),,,167.09985732502105
2003,Local government expenditure (GBP (£million) per capita),,,182.9410413386388
2004,Local government expenditure (GBP (£million) per capita),,,193.79353598975155
2005,Local government expenditure (GBP (£million) per capita),,,212.76771836665105
2006,Local government expenditure (GBP (£million) per capita),,,221.98986964691727
2007,Local government expenditure (GBP (£million) per capita),,,228.59109151960809
2008,Local government expenditure (GBP (£million) per capita),,,234.94188322296588
2009,Local government expenditure (GBP (£million) per capita),,,240.00770954296863
2010,Local government expenditure (GBP (£million) per capita),,,237.90820513229076
2011,Local government expenditure (GBP (£million) per capita),,,230.19636533718048
2012,Local government expenditure (GBP (£million) per capita),,,211.96138450671057
2013,Local government expenditure (GBP (£million) per capita),,,202.69648408799839
2014,Local government expenditure (GBP (£million) per capita),,,198.183191737052
2015,Local government expenditure (GBP (£million) per capita),,,190.8462601750883
2016,Local government expenditure (GBP (£million) per capita),,,180.82777719385632
2017,Local government expenditure (GBP (£million) per capita),,,185.52336304251045
2000,Local government expenditure (GBP (£million) per capita),Environmental protection,,72.69966936169995
2001,Local government expenditure (GBP (£million) per capita),Environmental protection,,78.2907313112175
2002,Local government expenditure (GBP (£million) per capita),Environmental protection,,84.17318417874293
2003,Local government expenditure (GBP (£million) per capita),Environmental protection,,93.93544579093077
2004,Local government expenditure (GBP (£million) per capita),Environmental protection,,102.23451386479488
2005,Local government expenditure (GBP (£million) per capita),Environmental protection,,114.16360304767328
2006,Local government expenditure (GBP (£million) per capita),Environmental protection,,119.00945466740977
2007,Local government expenditure (GBP (£million) per capita),Environmental protection,,123.33840516250238
2008,Local government expenditure (GBP (£million) per capita),Environmental protection,,128.3324544916359
2009,Local government expenditure (GBP (£million) per capita),Environmental protection,,130.69281486656868
2010,Local government expenditure (GBP (£million) per capita),Environmental protection,,131.18332682701424
2011,Local government expenditure (GBP (£million) per capita),Environmental protection,,130.5520572773054
2012,Local government expenditure (GBP (£million) per capita),Environmental protection,,119.67663448708893
2013,Local government expenditure (GBP (£million) per capita),Environmental protection,,119.1001736195065
2014,Local government expenditure (GBP (£million) per capita),Environmental protection,,119.69633170683376
2015,Local government expenditure (GBP (£million) per capita),Environmental protection,,120.81093534019352
2016,Local government expenditure (GBP (£million) per capita),Environmental protection,,119.80544753008844
2017,Local government expenditure (GBP (£million) per capita),Environmental protection,,120.63864131241274
2000,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,72.69966936169995
2001,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,78.2907313112175
2002,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,84.17318417874293
2003,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,93.93544579093077
2004,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,102.23451386479488
2005,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,114.16360304767328
2006,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,119.00945466740977
2007,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,123.33840516250238
2008,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,128.3324544916359
2009,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,130.69281486656868
2010,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,131.18332682701424
2011,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,130.5520572773054
2012,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,119.67663448708893
2013,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,119.1001736195065
2014,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,119.69633170683376
2015,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,120.81093534019352
2016,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,119.80544753008844
2017,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste management,120.63864131241274
2000,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2001,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2002,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2003,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2004,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2005,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2006,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2007,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2008,Local government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
