Year,Units,Sex,Age,Country,Region,GeoCode,Value
2003,"Suicide Rate per 100,000",Male,65 to 69,Wales,,W92000004,10.1
2003,"Suicide Rate per 100,000",Male,70 to 74,Wales,,W92000004,15.6
2003,"Suicide Rate per 100,000",Male,75 to 79,Wales,,W92000004,8.9
2003,"Suicide Rate per 100,000",Male,80 to 84,Wales,,W92000004,13.3
2003,"Suicide Rate per 100,000",Female,15 to 19,Wales,,W92000004,3.2
2003,"Suicide Rate per 100,000",Female,20 to 24,Wales,,W92000004,13.3
2003,"Suicide Rate per 100,000",Female,25 to 29,Wales,,W92000004,6.4
2003,"Suicide Rate per 100,000",Female,30 to 34,Wales,,W92000004,7.0
2003,"Suicide Rate per 100,000",Female,35 to 39,Wales,,W92000004,4.6
2003,"Suicide Rate per 100,000",Female,40 to 44,Wales,,W92000004,4.7
2003,"Suicide Rate per 100,000",Female,45 to 49,Wales,,W92000004,11.4
2003,"Suicide Rate per 100,000",Female,50 to 54,Wales,,W92000004,7.1
2003,"Suicide Rate per 100,000",Female,55 to 59,Wales,,W92000004,6.9
2003,"Suicide Rate per 100,000",Female,60 to 64,Wales,,W92000004,7.3
2003,"Suicide Rate per 100,000",Female,70 to 74,Wales,,W92000004,5.9
2003,"Suicide Rate per 100,000",Female,80 to 84,Wales,,W92000004,5.9
2004,"Suicide Rate per 100,000",Male,,,,,16.9
2004,"Suicide Rate per 100,000",Female,,,,,5.8
2004,"Suicide Rate per 100,000",,,England,,E92000001,10.3
2004,"Suicide Rate per 100,000",Male,,England,,E92000001,15.6
2004,"Suicide Rate per 100,000",Female,,England,,E92000001,5.4
2004,"Suicide Rate per 100,000",,,Wales,,W92000004,12.9
2004,"Suicide Rate per 100,000",Male,,Wales,,W92000004,20.9
2004,"Suicide Rate per 100,000",Female,,Wales,,W92000004,5.5
2004,"Suicide Rate per 100,000",,,Scotland,,S92000003,18.2
2004,"Suicide Rate per 100,000",Male,,Scotland,,S92000003,27.6
2004,"Suicide Rate per 100,000",Female,,Scotland,,S92000003,9.6
2004,"Suicide Rate per 100,000",,,Northern Ireland,,N92000002,9.8
2004,"Suicide Rate per 100,000",Male,,Northern Ireland,,N92000002,14.3
2004,"Suicide Rate per 100,000",Female,,Northern Ireland,,N92000002,5.5
2004,"Suicide Rate per 100,000",,,England,North East,E12000001,13.3
2004,"Suicide Rate per 100,000",,,England,North West,E12000002,10.7
2004,"Suicide Rate per 100,000",,,England,Yorkshire and The Humber,E12000003,10.7
2004,"Suicide Rate per 100,000",,,England,East Midlands,E12000004,10.4
2004,"Suicide Rate per 100,000",,,England,West Midlands,E12000005,9.8
2004,"Suicide Rate per 100,000",,,England,East of England,E12000006,9.4
2004,"Suicide Rate per 100,000",,,England,London,E12000007,9.9
2004,"Suicide Rate per 100,000",,,England,South East,E12000008,9.8
2004,"Suicide Rate per 100,000",,,England,South West,E12000009,11.0
2004,"Suicide Rate per 100,000",Male,,England,North East,E12000001,20.3
2004,"Suicide Rate per 100,000",Male,,England,North West,E12000002,16.6
2004,"Suicide Rate per 100,000",Male,,England,Yorkshire and The Humber,E12000003,16.9
2004,"Suicide Rate per 100,000",Male,,England,East Midlands,E12000004,15.9
2004,"Suicide Rate per 100,000",Male,,England,West Midlands,E12000005,15.0
2004,"Suicide Rate per 100,000",Male,,England,East of England,E12000006,13.7
2004,"Suicide Rate per 100,000",Male,,England,London,E12000007,15.0
2004,"Suicide Rate per 100,000",Male,,England,South East,E12000008,14.7
2004,"Suicide Rate per 100,000",Male,,England,South West,E12000009,16.5
2004,"Suicide Rate per 100,000",Female,,England,North East,E12000001,7.2
2004,"Suicide Rate per 100,000",Female,,England,North West,E12000002,5.2
2004,"Suicide Rate per 100,000",Female,,England,Yorkshire and The Humber,E12000003,5.4
2004,"Suicide Rate per 100,000",Female,,England,East Midlands,E12000004,5.4
2004,"Suicide Rate per 100,000",Female,,England,West Midlands,E12000005,5.1
2004,"Suicide Rate per 100,000",Female,,England,East of England,E12000006,5.3
2004,"Suicide Rate per 100,000",Female,,England,London,E12000007,5.2
2004,"Suicide Rate per 100,000",Female,,England,South East,E12000008,5.1
2004,"Suicide Rate per 100,000",Female,,England,South West,E12000009,6.0
2004,"Suicide Rate per 100,000",,10 to 14,,,,0.1
2004,"Suicide Rate per 100,000",,15 to 19,,,,5.3
2004,"Suicide Rate per 100,000",,20 to 24,,,,10.2
2004,"Suicide Rate per 100,000",,25 to 29,,,,12.2
2004,"Suicide Rate per 100,000",,30 to 34,,,,14.2
2004,"Suicide Rate per 100,000",,35 to 39,,,,16.0
2004,"Suicide Rate per 100,000",,40 to 44,,,,14.9
2004,"Suicide Rate per 100,000",,45 to 49,,,,14.6
2004,"Suicide Rate per 100,000",,50 to 54,,,,13.8
2004,"Suicide Rate per 100,000",,55 to 59,,,,11.3
2004,"Suicide Rate per 100,000",,60 to 64,,,,9.2
2004,"Suicide Rate per 100,000",,65 to 69,,,,9.6
2004,"Suicide Rate per 100,000",,70 to 74,,,,8.4
2004,"Suicide Rate per 100,000",,75 to 79,,,,10.0
2004,"Suicide Rate per 100,000",,80 to 84,,,,11.0
2004,"Suicide Rate per 100,000",,85 and over,,,,13.9
2004,"Suicide Rate per 100,000",Male,10 to 14,,,,0.2
2004,"Suicide Rate per 100,000",Male,15 to 19,,,,7.3
2004,"Suicide Rate per 100,000",Male,20 to 24,,,,16.5
2004,"Suicide Rate per 100,000",Male,25 to 29,,,,19.1
2004,"Suicide Rate per 100,000",Male,30 to 34,,,,22.6
2004,"Suicide Rate per 100,000",Male,35 to 39,,,,26.0
2004,"Suicide Rate per 100,000",Male,40 to 44,,,,22.4
2004,"Suicide Rate per 100,000",Male,45 to 49,,,,20.7
2004,"Suicide Rate per 100,000",Male,50 to 54,,,,20.5
2004,"Suicide Rate per 100,000",Male,55 to 59,,,,16.0
2004,"Suicide Rate per 100,000",Male,60 to 64,,,,13.0
2004,"Suicide Rate per 100,000",Male,65 to 69,,,,13.5
2004,"Suicide Rate per 100,000",Male,70 to 74,,,,11.3
2004,"Suicide Rate per 100,000",Male,75 to 79,,,,14.2
2004,"Suicide Rate per 100,000",Male,80 to 84,,,,19.4
2004,"Suicide Rate per 100,000",Male,85 and over,,,,26.8
2004,"Suicide Rate per 100,000",Female,15 to 19,,,,3.3
2004,"Suicide Rate per 100,000",Female,20 to 24,,,,3.9
2004,"Suicide Rate per 100,000",Female,25 to 29,,,,5.3
2004,"Suicide Rate per 100,000",Female,30 to 34,,,,5.8
2004,"Suicide Rate per 100,000",Female,35 to 39,,,,6.3
2004,"Suicide Rate per 100,000",Female,40 to 44,,,,7.6
2004,"Suicide Rate per 100,000",Female,45 to 49,,,,8.5
2004,"Suicide Rate per 100,000",Female,50 to 54,,,,7.2
2004,"Suicide Rate per 100,000",Female,55 to 59,,,,6.7
2004,"Suicide Rate per 100,000",Female,60 to 64,,,,5.7
2004,"Suicide Rate per 100,000",Female,65 to 69,,,,6.0
2004,"Suicide Rate per 100,000",Female,70 to 74,,,,5.9
2004,"Suicide Rate per 100,000",Female,75 to 79,,,,6.8
2004,"Suicide Rate per 100,000",Female,80 to 84,,,,5.9
2004,"Suicide Rate per 100,000",Female,85 and over,,,,8.7
2004,"Suicide Rate per 100,000",,10 to 14,England,,E92000001,0.1
2004,"Suicide Rate per 100,000",,15 to 19,England,,E92000001,4.3
2004,"Suicide Rate per 100,000",,20 to 24,England,,E92000001,9.2
2004,"Suicide Rate per 100,000",,25 to 29,England,,E92000001,11.4
2004,"Suicide Rate per 100,000",,30 to 34,England,,E92000001,12.8
2004,"Suicide Rate per 100,000",,35 to 39,England,,E92000001,14.1
2004,"Suicide Rate per 100,000",,40 to 44,England,,E92000001,13.9
2004,"Suicide Rate per 100,000",,45 to 49,England,,E92000001,13.0
2004,"Suicide Rate per 100,000",,50 to 54,England,,E92000001,12.7
2004,"Suicide Rate per 100,000",,55 to 59,England,,E92000001,10.8
2004,"Suicide Rate per 100,000",,60 to 64,England,,E92000001,8.7
2004,"Suicide Rate per 100,000",,65 to 69,England,,E92000001,9.3
2004,"Suicide Rate per 100,000",,70 to 74,England,,E92000001,8.0
2004,"Suicide Rate per 100,000",,75 to 79,England,,E92000001,9.2
2004,"Suicide Rate per 100,000",,80 to 84,England,,E92000001,11.5
2004,"Suicide Rate per 100,000",,85 to 89,England,,E92000001,13.2
2004,"Suicide Rate per 100,000",,90 and over,England,,E92000001,16.1
2004,"Suicide Rate per 100,000",Male,15 to 19,England,,E92000001,5.9
2004,"Suicide Rate per 100,000",Male,20 to 24,England,,E92000001,14.5
2004,"Suicide Rate per 100,000",Male,25 to 29,England,,E92000001,17.9
2004,"Suicide Rate per 100,000",Male,30 to 34,England,,E92000001,20.2
2004,"Suicide Rate per 100,000",Male,35 to 39,England,,E92000001,22.9
2004,"Suicide Rate per 100,000",Male,40 to 44,England,,E92000001,20.9
2004,"Suicide Rate per 100,000",Male,45 to 49,England,,E92000001,18.5
2004,"Suicide Rate per 100,000",Male,50 to 54,England,,E92000001,19.4
2004,"Suicide Rate per 100,000",Male,55 to 59,England,,E92000001,14.8
2004,"Suicide Rate per 100,000",Male,60 to 64,England,,E92000001,12.0
2004,"Suicide Rate per 100,000",Male,65 to 69,England,,E92000001,13.3
2004,"Suicide Rate per 100,000",Male,70 to 74,England,,E92000001,10.6
2004,"Suicide Rate per 100,000",Male,75 to 79,England,,E92000001,12.4
2004,"Suicide Rate per 100,000",Male,80 to 84,England,,E92000001,19.8
2004,"Suicide Rate per 100,000",Male,85 to 89,England,,E92000001,25.0
2004,"Suicide Rate per 100,000",Male,90 and over,England,,E92000001,34.5
2004,"Suicide Rate per 100,000",Female,15 to 19,England,,E92000001,2.7
2004,"Suicide Rate per 100,000",Female,20 to 24,England,,E92000001,3.8
2004,"Suicide Rate per 100,000",Female,25 to 29,England,,E92000001,5.0
2004,"Suicide Rate per 100,000",Female,30 to 34,England,,E92000001,5.3
2004,"Suicide Rate per 100,000",Female,35 to 39,England,,E92000001,5.4
2004,"Suicide Rate per 100,000",Female,40 to 44,England,,E92000001,7.0
2004,"Suicide Rate per 100,000",Female,45 to 49,England,,E92000001,7.5
2004,"Suicide Rate per 100,000",Female,50 to 54,England,,E92000001,6.1
2004,"Suicide Rate per 100,000",Female,55 to 59,England,,E92000001,6.8
2004,"Suicide Rate per 100,000",Female,60 to 64,England,,E92000001,5.5
2004,"Suicide Rate per 100,000",Female,65 to 69,England,,E92000001,5.6
2004,"Suicide Rate per 100,000",Female,70 to 74,England,,E92000001,5.8
2004,"Suicide Rate per 100,000",Female,75 to 79,England,,E92000001,6.8
2004,"Suicide Rate per 100,000",Female,80 to 84,England,,E92000001,6.4
2004,"Suicide Rate per 100,000",Female,85 to 89,England,,E92000001,7.7
2004,"Suicide Rate per 100,000",Female,90 and over,England,,E92000001,10.2
2004,"Suicide Rate per 100,000",,15 to 19,Wales,,W92000004,8.2
2004,"Suicide Rate per 100,000",,20 to 24,Wales,,W92000004,10.2
2004,"Suicide Rate per 100,000",,25 to 29,Wales,,W92000004,17.7
2004,"Suicide Rate per 100,000",,30 to 34,Wales,,W92000004,17.1
2004,"Suicide Rate per 100,000",,35 to 39,Wales,,W92000004,17.4
2004,"Suicide Rate per 100,000",,40 to 44,Wales,,W92000004,14.6
2004,"Suicide Rate per 100,000",,45 to 49,Wales,,W92000004,17.2
2004,"Suicide Rate per 100,000",,50 to 54,Wales,,W92000004,17.8
2004,"Suicide Rate per 100,000",,55 to 59,Wales,,W92000004,11.7
2004,"Suicide Rate per 100,000",,60 to 64,Wales,,W92000004,9.6
2004,"Suicide Rate per 100,000",,65 to 69,Wales,,W92000004,12.4
2004,"Suicide Rate per 100,000",,70 to 74,Wales,,W92000004,11.2
2004,"Suicide Rate per 100,000",,75 to 79,Wales,,W92000004,15.2
2004,"Suicide Rate per 100,000",,80 to 84,Wales,,W92000004,7.3
2004,"Suicide Rate per 100,000",,85 to 89,Wales,,W92000004,10.4
2004,"Suicide Rate per 100,000",Male,15 to 19,Wales,,W92000004,13.0
2004,"Suicide Rate per 100,000",Male,20 to 24,Wales,,W92000004,18.1
2004,"Suicide Rate per 100,000",Male,25 to 29,Wales,,W92000004,30.3
2004,"Suicide Rate per 100,000",Male,30 to 34,Wales,,W92000004,29.5
2004,"Suicide Rate per 100,000",Male,35 to 39,Wales,,W92000004,29.0
2004,"Suicide Rate per 100,000",Male,40 to 44,Wales,,W92000004,21.2
2004,"Suicide Rate per 100,000",Male,45 to 49,Wales,,W92000004,26.5
2004,"Suicide Rate per 100,000",Male,50 to 54,Wales,,W92000004,25.5
2004,"Suicide Rate per 100,000",Male,55 to 59,Wales,,W92000004,21.7
2004,"Suicide Rate per 100,000",Male,60 to 64,Wales,,W92000004,15.9
2004,"Suicide Rate per 100,000",Male,65 to 69,Wales,,W92000004,18.5
2004,"Suicide Rate per 100,000",Male,70 to 74,Wales,,W92000004,15.5
2004,"Suicide Rate per 100,000",Male,75 to 79,Wales,,W92000004,22.2
2004,"Suicide Rate per 100,000",Male,80 to 84,Wales,,W92000004,16.3
2004,"Suicide Rate per 100,000",Male,85 to 89,Wales,,W92000004,25.0
2004,"Suicide Rate per 100,000",Female,15 to 19,Wales,,W92000004,3.1
2004,"Suicide Rate per 100,000",Female,25 to 29,Wales,,W92000004,5.0
2004,"Suicide Rate per 100,000",Female,30 to 34,Wales,,W92000004,5.2
2004,"Suicide Rate per 100,000",Female,35 to 39,Wales,,W92000004,6.4
2004,"Suicide Rate per 100,000",Female,40 to 44,Wales,,W92000004,8.3
2004,"Suicide Rate per 100,000",Female,45 to 49,Wales,,W92000004,8.2
2004,"Suicide Rate per 100,000",Female,50 to 54,Wales,,W92000004,10.3
2004,"Suicide Rate per 100,000",Female,60 to 64,Wales,,W92000004,3.5
2004,"Suicide Rate per 100,000",Female,65 to 69,Wales,,W92000004,6.7
2004,"Suicide Rate per 100,000",Female,70 to 74,Wales,,W92000004,7.4
2004,"Suicide Rate per 100,000",Female,75 to 79,Wales,,W92000004,10.0
2005,"Suicide Rate per 100,000",Male,,,,,16.4
2005,"Suicide Rate per 100,000",Female,,,,,5.5
2005,"Suicide Rate per 100,000",,,England,,E92000001,9.9
2005,"Suicide Rate per 100,000",Male,,England,,E92000001,15.2
2005,"Suicide Rate per 100,000",Female,,England,,E92000001,5.1
2005,"Suicide Rate per 100,000",,,Wales,,W92000004,10.4
2005,"Suicide Rate per 100,000",Male,,Wales,,W92000004,17.1
2005,"Suicide Rate per 100,000",Female,,Wales,,W92000004,4.3
2005,"Suicide Rate per 100,000",,,Scotland,,S92000003,16.5
2005,"Suicide Rate per 100,000",Male,,Scotland,,S92000003,24.7
2005,"Suicide Rate per 100,000",Female,,Scotland,,S92000003,9.0
2005,"Suicide Rate per 100,000",,,Northern Ireland,,N92000002,14.1
2005,"Suicide Rate per 100,000",Male,,Northern Ireland,,N92000002,22.1
2005,"Suicide Rate per 100,000",Female,,Northern Ireland,,N92000002,6.4
2005,"Suicide Rate per 100,000",,,England,North East,E12000001,10.8
2005,"Suicide Rate per 100,000",,,England,North West,E12000002,11.2
2005,"Suicide Rate per 100,000",,,England,Yorkshire and The Humber,E12000003,10.8
2005,"Suicide Rate per 100,000",,,England,East Midlands,E12000004,9.6
2005,"Suicide Rate per 100,000",,,England,West Midlands,E12000005,9.2
2005,"Suicide Rate per 100,000",,,England,East of England,E12000006,9.2
2005,"Suicide Rate per 100,000",,,England,London,E12000007,9.9
2005,"Suicide Rate per 100,000",,,England,South East,E12000008,9.7
2005,"Suicide Rate per 100,000",,,England,South West,E12000009,10.1
2005,"Suicide Rate per 100,000",Male,,England,North East,E12000001,16.5
2005,"Suicide Rate per 100,000",Male,,England,North West,E12000002,17.9
2005,"Suicide Rate per 100,000",Male,,England,Yorkshire and The Humber,E12000003,16.2
2005,"Suicide Rate per 100,000",Male,,England,East Midlands,E12000004,15.0
2005,"Suicide Rate per 100,000",Male,,England,West Midlands,E12000005,13.7
2005,"Suicide Rate per 100,000",Male,,England,East of England,E12000006,14.4
2005,"Suicide Rate per 100,000",Male,,England,London,E12000007,14.8
2005,"Suicide Rate per 100,000",Male,,England,South East,E12000008,14.4
2005,"Suicide Rate per 100,000",Male,,England,South West,E12000009,15.6
2005,"Suicide Rate per 100,000",Female,,England,North East,E12000001,5.8
2005,"Suicide Rate per 100,000",Female,,England,North West,E12000002,5.1
2005,"Suicide Rate per 100,000",Female,,England,Yorkshire and The Humber,E12000003,5.6
2005,"Suicide Rate per 100,000",Female,,England,East Midlands,E12000004,4.4
2005,"Suicide Rate per 100,000",Female,,England,West Midlands,E12000005,5.0
2005,"Suicide Rate per 100,000",Female,,England,East of England,E12000006,4.6
2005,"Suicide Rate per 100,000",Female,,England,London,E12000007,5.3
2005,"Suicide Rate per 100,000",Female,,England,South East,E12000008,5.5
2005,"Suicide Rate per 100,000",Female,,England,South West,E12000009,5.0
2005,"Suicide Rate per 100,000",,10 to 14,,,,0.2
2005,"Suicide Rate per 100,000",,15 to 19,,,,4.9
2005,"Suicide Rate per 100,000",,20 to 24,,,,9.9
2005,"Suicide Rate per 100,000",,25 to 29,,,,11.1
2005,"Suicide Rate per 100,000",,30 to 34,,,,14.1
2005,"Suicide Rate per 100,000",,35 to 39,,,,14.9
2005,"Suicide Rate per 100,000",,40 to 44,,,,14.7
2005,"Suicide Rate per 100,000",,45 to 49,,,,14.9
2005,"Suicide Rate per 100,000",,50 to 54,,,,13.6
2005,"Suicide Rate per 100,000",,55 to 59,,,,11.3
2005,"Suicide Rate per 100,000",,60 to 64,,,,10.2
2005,"Suicide Rate per 100,000",,65 to 69,,,,8.3
2005,"Suicide Rate per 100,000",,70 to 74,,,,7.7
2005,"Suicide Rate per 100,000",,75 to 79,,,,7.1
2005,"Suicide Rate per 100,000",,80 to 84,,,,10.8
2005,"Suicide Rate per 100,000",,85 and over,,,,12.3
2005,"Suicide Rate per 100,000",Male,10 to 14,,,,0.2
2005,"Suicide Rate per 100,000",Male,15 to 19,,,,6.9
2005,"Suicide Rate per 100,000",Male,20 to 24,,,,15.3
2005,"Suicide Rate per 100,000",Male,25 to 29,,,,17.1
2005,"Suicide Rate per 100,000",Male,30 to 34,,,,22.5
2005,"Suicide Rate per 100,000",Male,35 to 39,,,,23.6
2005,"Suicide Rate per 100,000",Male,40 to 44,,,,23.0
2005,"Suicide Rate per 100,000",Male,45 to 49,,,,22.0
2005,"Suicide Rate per 100,000",Male,50 to 54,,,,18.9
2005,"Suicide Rate per 100,000",Male,55 to 59,,,,15.7
2005,"Suicide Rate per 100,000",Male,60 to 64,,,,14.9
2005,"Suicide Rate per 100,000",Male,65 to 69,,,,12.1
2005,"Suicide Rate per 100,000",Male,70 to 74,,,,12.0
2005,"Suicide Rate per 100,000",Male,75 to 79,,,,10.7
2005,"Suicide Rate per 100,000",Male,80 to 84,,,,19.1
2005,"Suicide Rate per 100,000",Male,85 and over,,,,25.6
2005,"Suicide Rate per 100,000",Female,10 to 14,,,,0.2
2005,"Suicide Rate per 100,000",Female,15 to 19,,,,2.8
2005,"Suicide Rate per 100,000",Female,20 to 24,,,,4.4
2005,"Suicide Rate per 100,000",Female,25 to 29,,,,5.1
2005,"Suicide Rate per 100,000",Female,30 to 34,,,,5.8
2005,"Suicide Rate per 100,000",Female,35 to 39,,,,6.3
2005,"Suicide Rate per 100,000",Female,40 to 44,,,,6.5
2005,"Suicide Rate per 100,000",Female,45 to 49,,,,7.8
2005,"Suicide Rate per 100,000",Female,50 to 54,,,,8.4
2005,"Suicide Rate per 100,000",Female,55 to 59,,,,7.0
2005,"Suicide Rate per 100,000",Female,60 to 64,,,,5.6
2005,"Suicide Rate per 100,000",Female,65 to 69,,,,4.9
2005,"Suicide Rate per 100,000",Female,70 to 74,,,,4.1
2005,"Suicide Rate per 100,000",Female,75 to 79,,,,4.4
2005,"Suicide Rate per 100,000",Female,80 to 84,,,,5.7
2005,"Suicide Rate per 100,000",Female,85 and over,,,,6.7
2005,"Suicide Rate per 100,000",,15 to 19,England,,E92000001,4.2
2005,"Suicide Rate per 100,000",,20 to 24,England,,E92000001,8.5
2005,"Suicide Rate per 100,000",,25 to 29,England,,E92000001,10.0
2005,"Suicide Rate per 100,000",,30 to 34,England,,E92000001,12.7
2005,"Suicide Rate per 100,000",,35 to 39,England,,E92000001,14.0
2005,"Suicide Rate per 100,000",,40 to 44,England,,E92000001,13.5
2005,"Suicide Rate per 100,000",,45 to 49,England,,E92000001,14.1
2005,"Suicide Rate per 100,000",,50 to 54,England,,E92000001,12.6
2005,"Suicide Rate per 100,000",,55 to 59,England,,E92000001,10.7
2005,"Suicide Rate per 100,000",,60 to 64,England,,E92000001,9.3
2005,"Suicide Rate per 100,000",,65 to 69,England,,E92000001,7.8
2005,"Suicide Rate per 100,000",,70 to 74,England,,E92000001,7.5
2005,"Suicide Rate per 100,000",,75 to 79,England,,E92000001,7.0
2005,"Suicide Rate per 100,000",,80 to 84,England,,E92000001,10.6
2005,"Suicide Rate per 100,000",,85 to 89,England,,E92000001,12.7
2005,"Suicide Rate per 100,000",,90 and over,England,,E92000001,13.5
2005,"Suicide Rate per 100,000",Male,15 to 19,England,,E92000001,5.8
2005,"Suicide Rate per 100,000",Male,20 to 24,England,,E92000001,13.2
2005,"Suicide Rate per 100,000",Male,25 to 29,England,,E92000001,15.1
2005,"Suicide Rate per 100,000",Male,30 to 34,England,,E92000001,20.4
2005,"Suicide Rate per 100,000",Male,35 to 39,England,,E92000001,21.8
2005,"Suicide Rate per 100,000",Male,40 to 44,England,,E92000001,20.8
2005,"Suicide Rate per 100,000",Male,45 to 49,England,,E92000001,21.0
2005,"Suicide Rate per 100,000",Male,50 to 54,England,,E92000001,17.7
2005,"Suicide Rate per 100,000",Male,55 to 59,England,,E92000001,15.0
2005,"Suicide Rate per 100,000",Male,60 to 64,England,,E92000001,13.4
2005,"Suicide Rate per 100,000",Male,65 to 69,England,,E92000001,11.2
2005,"Suicide Rate per 100,000",Male,70 to 74,England,,E92000001,11.7
2005,"Suicide Rate per 100,000",Male,75 to 79,England,,E92000001,10.8
2005,"Suicide Rate per 100,000",Male,80 to 84,England,,E92000001,18.6
2005,"Suicide Rate per 100,000",Male,85 to 89,England,,E92000001,26.2
2005,"Suicide Rate per 100,000",Male,90 and over,England,,E92000001,30.8
2005,"Suicide Rate per 100,000",Female,15 to 19,England,,E92000001,2.6
2005,"Suicide Rate per 100,000",Female,20 to 24,England,,E92000001,3.7
2005,"Suicide Rate per 100,000",Female,25 to 29,England,,E92000001,4.9
2005,"Suicide Rate per 100,000",Female,30 to 34,England,,E92000001,5.0
2005,"Suicide Rate per 100,000",Female,35 to 39,England,,E92000001,6.3
2005,"Suicide Rate per 100,000",Female,40 to 44,England,,E92000001,6.3
2005,"Suicide Rate per 100,000",Female,45 to 49,England,,E92000001,7.3
2005,"Suicide Rate per 100,000",Female,50 to 54,England,,E92000001,7.7
2005,"Suicide Rate per 100,000",Female,55 to 59,England,,E92000001,6.5
2005,"Suicide Rate per 100,000",Female,60 to 64,England,,E92000001,5.4
2005,"Suicide Rate per 100,000",Female,65 to 69,England,,E92000001,4.7
2005,"Suicide Rate per 100,000",Female,70 to 74,England,,E92000001,3.9
2005,"Suicide Rate per 100,000",Female,75 to 79,England,,E92000001,4.1
2005,"Suicide Rate per 100,000",Female,80 to 84,England,,E92000001,5.6
2005,"Suicide Rate per 100,000",Female,85 to 89,England,,E92000001,6.1
2005,"Suicide Rate per 100,000",Female,90 and over,England,,E92000001,7.8
2005,"Suicide Rate per 100,000",,15 to 19,Wales,,W92000004,4.1
2005,"Suicide Rate per 100,000",,20 to 24,Wales,,W92000004,10.0
2005,"Suicide Rate per 100,000",,25 to 29,Wales,,W92000004,7.9
2005,"Suicide Rate per 100,000",,30 to 34,Wales,,W92000004,18.7
2005,"Suicide Rate per 100,000",,35 to 39,Wales,,W92000004,12.0
2005,"Suicide Rate per 100,000",,40 to 44,Wales,,W92000004,14.3
2005,"Suicide Rate per 100,000",,45 to 49,Wales,,W92000004,14.8
2005,"Suicide Rate per 100,000",,50 to 54,Wales,,W92000004,17.0
2005,"Suicide Rate per 100,000",,55 to 59,Wales,,W92000004,12.0
2005,"Suicide Rate per 100,000",,60 to 64,Wales,,W92000004,8.2
2005,"Suicide Rate per 100,000",,65 to 69,Wales,,W92000004,6.8
2005,"Suicide Rate per 100,000",,70 to 74,Wales,,W92000004,5.6
2005,"Suicide Rate per 100,000",,75 to 79,Wales,,W92000004,7.6
2005,"Suicide Rate per 100,000",,80 to 84,Wales,,W92000004,8.7
2005,"Suicide Rate per 100,000",,85 to 89,Wales,,W92000004,9.7
2005,"Suicide Rate per 100,000",,90 and over,Wales,,W92000004,14.2
2005,"Suicide Rate per 100,000",Male,15 to 19,Wales,,W92000004,7.9
2005,"Suicide Rate per 100,000",Male,20 to 24,Wales,,W92000004,17.7
2005,"Suicide Rate per 100,000",Male,25 to 29,Wales,,W92000004,13.4
2005,"Suicide Rate per 100,000",Male,30 to 34,Wales,,W92000004,26.9
2005,"Suicide Rate per 100,000",Male,35 to 39,Wales,,W92000004,21.5
2005,"Suicide Rate per 100,000",Male,40 to 44,Wales,,W92000004,24.4
2005,"Suicide Rate per 100,000",Male,45 to 49,Wales,,W92000004,26.0
2005,"Suicide Rate per 100,000",Male,50 to 54,Wales,,W92000004,25.9
2005,"Suicide Rate per 100,000",Male,55 to 59,Wales,,W92000004,18.5
2005,"Suicide Rate per 100,000",Male,60 to 64,Wales,,W92000004,13.1
2005,"Suicide Rate per 100,000",Male,65 to 69,Wales,,W92000004,9.8
2005,"Suicide Rate per 100,000",Male,70 to 74,Wales,,W92000004,8.5
2005,"Suicide Rate per 100,000",Male,75 to 79,Wales,,W92000004,11.0
2005,"Suicide Rate per 100,000",Male,80 to 84,Wales,,W92000004,16.3
2005,"Suicide Rate per 100,000",Female,30 to 34,Wales,,W92000004,10.8
2005,"Suicide Rate per 100,000",Female,35 to 39,Wales,,W92000004,2.8
2005,"Suicide Rate per 100,000",Female,40 to 44,Wales,,W92000004,4.5
2005,"Suicide Rate per 100,000",Female,45 to 49,Wales,,W92000004,4.0
2005,"Suicide Rate per 100,000",Female,50 to 54,Wales,,W92000004,8.4
2005,"Suicide Rate per 100,000",Female,55 to 59,Wales,,W92000004,5.7
2005,"Suicide Rate per 100,000",Female,60 to 64,Wales,,W92000004,3.4
2005,"Suicide Rate per 100,000",Female,65 to 69,Wales,,W92000004,4.0
2005,"Suicide Rate per 100,000",Female,75 to 79,Wales,,W92000004,5.1
2006,"Suicide Rate per 100,000",Male,,,,,16.2
2006,"Suicide Rate per 100,000",Female,,,,,5.0
2006,"Suicide Rate per 100,000",,,England,,E92000001,9.4
2006,"Suicide Rate per 100,000",Male,,England,,E92000001,14.5
2006,"Suicide Rate per 100,000",Female,,England,,E92000001,4.6
2006,"Suicide Rate per 100,000",,,Wales,,W92000004,11.5
2006,"Suicide Rate per 100,000",Male,,Wales,,W92000004,17.8
2006,"Suicide Rate per 100,000",Female,,Wales,,W92000004,5.7
2006,"Suicide Rate per 100,000",,,Scotland,,S92000003,16.4
2006,"Suicide Rate per 100,000",Male,,Scotland,,S92000003,26.5
2006,"Suicide Rate per 100,000",Female,,Scotland,,S92000003,7.2
2006,"Suicide Rate per 100,000",,,Northern Ireland,,N92000002,18.5
2006,"Suicide Rate per 100,000",Male,,Northern Ireland,,N92000002,29.2
2006,"Suicide Rate per 100,000",Female,,Northern Ireland,,N92000002,8.1
2006,"Suicide Rate per 100,000",,,England,North East,E12000001,10.0
2006,"Suicide Rate per 100,000",,,England,North West,E12000002,10.5
2006,"Suicide Rate per 100,000",,,England,Yorkshire and The Humber,E12000003,9.0
