Year,Flow of offical development assistance (ODA),Aid sub-category description (DAC 5 code),Aid description (CRS code),Value
2016,,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",121266.33195943269
2016,,"Energy generation, renewable sources (232)",Geothermal energy (23260),11057.02707023126
2016,,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),19084.647847735057
2016,,"Energy generation, renewable sources (232)",Marine energy (23250),1.0
2016,,"Energy generation, renewable sources (232)",Solar energy (23230),16951.61859179378
2016,,"Energy generation, renewable sources (232)",Wind energy (23240),7981.417453272822
2016,,"Energy generation, renewable sources (232)",,177181.8514841916
2016,,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),0.0
2016,,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),118643.9952596542
2016,,"Heating, cooling and energy distribution (236)",Gas distribution (23640),21513.8585007615
2016,,"Heating, cooling and energy distribution (236)",Heat plants (23610),1.0
2016,,"Heating, cooling and energy distribution (236)",,140158.85376041572
2016,,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),1.0
2016,,Hybrid energy electric power plants (234),,1.0
2016,,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),9669.302548393443
2016,,Nuclear energy electric power plants (235),,9669.302548393443
2016,,,,492630.701334628
