Year,Units,Origin of tourist,Type of tourist,Type of expenditure,Unit measure,Unit multiplier,Observation status,Value
2016,Percentage change (%),Outbound,Tourists (overnight visitors),Water passenger transport services,Percentage change (%),Units,Undefined,18.751
2016,Percentage change (%),Outbound,Tourists (overnight visitors),Air passenger transport services,Percentage change (%),Units,Undefined,3.23344
2016,Percentage change (%),Outbound,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,5.24293
2016,Percentage change (%),Outbound,Tourists (overnight visitors),Other consumption products,Percentage change (%),Units,Undefined,29.43926
2016,Percentage change (%),Outbound,Tourists (overnight visitors),,Percentage change (%),Units,Undefined,12.16463
2014,Percentage change (%),Outbound,Excursionists (same-day visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,3.0303
2014,Percentage change (%),Outbound,Excursionists (same-day visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,68.29268
2014,Percentage change (%),Outbound,Excursionists (same-day visitors),Road passenger transport services,Percentage change (%),Units,Undefined,2.5641
2014,Percentage change (%),Outbound,Excursionists (same-day visitors),Water passenger transport services,Percentage change (%),Units,Undefined,-60.42296
2014,Percentage change (%),Outbound,Excursionists (same-day visitors),Air passenger transport services,Percentage change (%),Units,Undefined,-12.16617
2014,Percentage change (%),Outbound,Excursionists (same-day visitors),Other consumption products,Percentage change (%),Units,Undefined,5.42169
2014,Percentage change (%),Outbound,Excursionists (same-day visitors),,Percentage change (%),Units,Undefined,-0.27184
2015,Percentage change (%),Outbound,Excursionists (same-day visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,-7.39749
2015,Percentage change (%),Outbound,Excursionists (same-day visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,-47.04242
2015,Percentage change (%),Outbound,Excursionists (same-day visitors),Road passenger transport services,Percentage change (%),Units,Undefined,-6.66439
2015,Percentage change (%),Outbound,Excursionists (same-day visitors),Water passenger transport services,Percentage change (%),Units,Undefined,-30.36093
2015,Percentage change (%),Outbound,Excursionists (same-day visitors),Air passenger transport services,Percentage change (%),Units,Undefined,5.11754
2015,Percentage change (%),Outbound,Excursionists (same-day visitors),Other consumption products,Percentage change (%),Units,Undefined,-10.08244
2015,Percentage change (%),Outbound,Excursionists (same-day visitors),,Percentage change (%),Units,Undefined,-15.97203
2016,Percentage change (%),Outbound,Excursionists (same-day visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,6.70792
2016,Percentage change (%),Outbound,Excursionists (same-day visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,-3.71796
2016,Percentage change (%),Outbound,Excursionists (same-day visitors),Road passenger transport services,Percentage change (%),Units,Undefined,20.73436
2016,Percentage change (%),Outbound,Excursionists (same-day visitors),Water passenger transport services,Percentage change (%),Units,Undefined,49.46963
2016,Percentage change (%),Outbound,Excursionists (same-day visitors),Air passenger transport services,Percentage change (%),Units,Undefined,-7.26499
2016,Percentage change (%),Outbound,Excursionists (same-day visitors),Other consumption products,Percentage change (%),Units,Undefined,11.63149
2016,Percentage change (%),Outbound,Excursionists (same-day visitors),,Percentage change (%),Units,Undefined,-0.70135
2014,Percentage change (%),Outbound,,Accommodation services for visitors,Percentage change (%),Units,Undefined,10.25724
2014,Percentage change (%),Outbound,,Food and beverage serving activities,Percentage change (%),Units,Undefined,5.22068
2014,Percentage change (%),Outbound,,Railway passenger transport services,Percentage change (%),Units,Undefined,10.95867
2014,Percentage change (%),Outbound,,Road passenger transport services,Percentage change (%),Units,Undefined,5.52692
2014,Percentage change (%),Outbound,,Water passenger transport services,Percentage change (%),Units,Undefined,6.46169
2014,Percentage change (%),Outbound,,Air passenger transport services,Percentage change (%),Units,Undefined,2.26474
2014,Percentage change (%),Outbound,,Travel agencies and other reservation services,Percentage change (%),Units,Undefined,0.0
2014,Percentage change (%),Outbound,,Other consumption products,Percentage change (%),Units,Undefined,8.70385
2014,Percentage change (%),Outbound,,,Percentage change (%),Units,Undefined,4.16103
2015,Percentage change (%),Outbound,,Accommodation services for visitors,Percentage change (%),Units,Undefined,11.21927
2015,Percentage change (%),Outbound,,Food and beverage serving activities,Percentage change (%),Units,Undefined,15.07606
2015,Percentage change (%),Outbound,,Railway passenger transport services,Percentage change (%),Units,Undefined,-4.0466
2015,Percentage change (%),Outbound,,Road passenger transport services,Percentage change (%),Units,Undefined,13.44126
2015,Percentage change (%),Outbound,,Water passenger transport services,Percentage change (%),Units,Undefined,-14.54231
2015,Percentage change (%),Outbound,,Air passenger transport services,Percentage change (%),Units,Undefined,3.73821
2015,Percentage change (%),Outbound,,Travel agencies and other reservation services,Percentage change (%),Units,Undefined,7.27572
2015,Percentage change (%),Outbound,,Other consumption products,Percentage change (%),Units,Undefined,10.06434
2015,Percentage change (%),Outbound,,,Percentage change (%),Units,Undefined,5.64297
2016,Percentage change (%),Outbound,,Accommodation services for visitors,Percentage change (%),Units,Undefined,10.6411
2016,Percentage change (%),Outbound,,Food and beverage serving activities,Percentage change (%),Units,Undefined,23.65426
2016,Percentage change (%),Outbound,,Railway passenger transport services,Percentage change (%),Units,Undefined,24.03077
2016,Percentage change (%),Outbound,,Road passenger transport services,Percentage change (%),Units,Undefined,39.90824
2016,Percentage change (%),Outbound,,Water passenger transport services,Percentage change (%),Units,Undefined,19.49091
2016,Percentage change (%),Outbound,,Air passenger transport services,Percentage change (%),Units,Undefined,3.15603
2016,Percentage change (%),Outbound,,Travel agencies and other reservation services,Percentage change (%),Units,Undefined,5.24293
2016,Percentage change (%),Outbound,,Other consumption products,Percentage change (%),Units,Undefined,29.35974
2016,Percentage change (%),Outbound,,,Percentage change (%),Units,Undefined,12.06899
2014,Percentage change (%),,Tourists (overnight visitors),Accommodation services for visitors,Percentage change (%),Units,Undefined,2.55585
2014,Percentage change (%),,Tourists (overnight visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,0.46444
2014,Percentage change (%),,Tourists (overnight visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,-4.22404
2014,Percentage change (%),,Tourists (overnight visitors),Road passenger transport services,Percentage change (%),Units,Undefined,3.5051
2014,Percentage change (%),,Tourists (overnight visitors),Water passenger transport services,Percentage change (%),Units,Undefined,-11.00097
2014,Percentage change (%),,Tourists (overnight visitors),Air passenger transport services,Percentage change (%),Units,Undefined,3.47243
2014,Percentage change (%),,Tourists (overnight visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,2.41327
2014,Percentage change (%),,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,0.00733
2014,Percentage change (%),,Tourists (overnight visitors),Cultural activities,Percentage change (%),Units,Undefined,-1.15016
2014,Percentage change (%),,Tourists (overnight visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,-10.67385
2014,Percentage change (%),,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-26.69377
2014,Percentage change (%),,Tourists (overnight visitors),Other consumption products,Percentage change (%),Units,Undefined,1.39636
2014,Percentage change (%),,Tourists (overnight visitors),,Percentage change (%),Units,Undefined,1.47948
2015,Percentage change (%),,Tourists (overnight visitors),Accommodation services for visitors,Percentage change (%),Units,Undefined,4.50509
2015,Percentage change (%),,Tourists (overnight visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,9.08554
2015,Percentage change (%),,Tourists (overnight visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,2.89254
2015,Percentage change (%),,Tourists (overnight visitors),Road passenger transport services,Percentage change (%),Units,Undefined,7.43728
2015,Percentage change (%),,Tourists (overnight visitors),Water passenger transport services,Percentage change (%),Units,Undefined,-7.93428
2015,Percentage change (%),,Tourists (overnight visitors),Air passenger transport services,Percentage change (%),Units,Undefined,3.58605
2015,Percentage change (%),,Tourists (overnight visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,2.23191
2015,Percentage change (%),,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,6.11106
2015,Percentage change (%),,Tourists (overnight visitors),Cultural activities,Percentage change (%),Units,Undefined,8.5789
2015,Percentage change (%),,Tourists (overnight visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,9.11939
2015,Percentage change (%),,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-8.47175
2015,Percentage change (%),,Tourists (overnight visitors),Other consumption products,Percentage change (%),Units,Undefined,5.57128
2015,Percentage change (%),,Tourists (overnight visitors),,Percentage change (%),Units,Undefined,5.13582
2016,Percentage change (%),,Tourists (overnight visitors),Accommodation services for visitors,Percentage change (%),Units,Undefined,-0.04905
2016,Percentage change (%),,Tourists (overnight visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,-3.99462
2016,Percentage change (%),,Tourists (overnight visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,2.85796
2016,Percentage change (%),,Tourists (overnight visitors),Road passenger transport services,Percentage change (%),Units,Undefined,4.01694
2016,Percentage change (%),,Tourists (overnight visitors),Water passenger transport services,Percentage change (%),Units,Undefined,13.62532
2016,Percentage change (%),,Tourists (overnight visitors),Air passenger transport services,Percentage change (%),Units,Undefined,2.35881
2016,Percentage change (%),,Tourists (overnight visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,-12.37216
2016,Percentage change (%),,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,-4.42187
2016,Percentage change (%),,Tourists (overnight visitors),Cultural activities,Percentage change (%),Units,Undefined,-4.91286
2016,Percentage change (%),,Tourists (overnight visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,-9.54536
2016,Percentage change (%),,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,31.34572
2016,Percentage change (%),,Tourists (overnight visitors),Other consumption products,Percentage change (%),Units,Undefined,8.81741
2016,Percentage change (%),,Tourists (overnight visitors),,Percentage change (%),Units,Undefined,2.76841
2014,Percentage change (%),,Excursionists (same-day visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,-4.9059
2014,Percentage change (%),,Excursionists (same-day visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,4.15421
2014,Percentage change (%),,Excursionists (same-day visitors),Road passenger transport services,Percentage change (%),Units,Undefined,-19.76814
2014,Percentage change (%),,Excursionists (same-day visitors),Water passenger transport services,Percentage change (%),Units,Undefined,-72.59384
2014,Percentage change (%),,Excursionists (same-day visitors),Air passenger transport services,Percentage change (%),Units,Undefined,-14.60089
2014,Percentage change (%),,Excursionists (same-day visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,-7.808
2014,Percentage change (%),,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,-36.58383
2014,Percentage change (%),,Excursionists (same-day visitors),Cultural activities,Percentage change (%),Units,Undefined,-30.69128
2014,Percentage change (%),,Excursionists (same-day visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,70.09299
2014,Percentage change (%),,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-70.31802
2014,Percentage change (%),,Excursionists (same-day visitors),Other consumption products,Percentage change (%),Units,Undefined,8.30907
2014,Percentage change (%),,Excursionists (same-day visitors),,Percentage change (%),Units,Undefined,-0.52054
2015,Percentage change (%),,Excursionists (same-day visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,0.21435
2015,Percentage change (%),,Excursionists (same-day visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,-1.4023
2015,Percentage change (%),,Excursionists (same-day visitors),Road passenger transport services,Percentage change (%),Units,Undefined,0.23175
2015,Percentage change (%),,Excursionists (same-day visitors),Water passenger transport services,Percentage change (%),Units,Undefined,1.24066
2015,Percentage change (%),,Excursionists (same-day visitors),Air passenger transport services,Percentage change (%),Units,Undefined,-3.79091
2015,Percentage change (%),,Excursionists (same-day visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,0.28473
2015,Percentage change (%),,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,0.26479
2015,Percentage change (%),,Excursionists (same-day visitors),Cultural activities,Percentage change (%),Units,Undefined,0.2041
2015,Percentage change (%),,Excursionists (same-day visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,0.20365
2015,Percentage change (%),,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,0.13129
2015,Percentage change (%),,Excursionists (same-day visitors),Other consumption products,Percentage change (%),Units,Undefined,0.2307
2015,Percentage change (%),,Excursionists (same-day visitors),,Percentage change (%),Units,Undefined,0.08053
2016,Percentage change (%),,Excursionists (same-day visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,16.46106
2016,Percentage change (%),,Excursionists (same-day visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,9.1494
2016,Percentage change (%),,Excursionists (same-day visitors),Road passenger transport services,Percentage change (%),Units,Undefined,-88.91222
2016,Percentage change (%),,Excursionists (same-day visitors),Water passenger transport services,Percentage change (%),Units,Undefined,115.43228
2016,Percentage change (%),,Excursionists (same-day visitors),Air passenger transport services,Percentage change (%),Units,Undefined,107.43293
2016,Percentage change (%),,Excursionists (same-day visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,272.50568
2016,Percentage change (%),,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,615.64823
2016,Percentage change (%),,Excursionists (same-day visitors),Cultural activities,Percentage change (%),Units,Undefined,109.66927
2016,Percentage change (%),,Excursionists (same-day visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,-23.17332
2016,Percentage change (%),,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,167.65081
2016,Percentage change (%),,Excursionists (same-day visitors),Other consumption products,Percentage change (%),Units,Undefined,31.02103
2016,Percentage change (%),,Excursionists (same-day visitors),,Percentage change (%),Units,Undefined,27.22921
2014,Percentage change (%),,,Accommodation services for visitors,Percentage change (%),Units,Undefined,2.55585
2014,Percentage change (%),,,Food and beverage serving activities,Percentage change (%),Units,Undefined,-3.34999
2014,Percentage change (%),,,Railway passenger transport services,Percentage change (%),Units,Undefined,0.63263
2014,Percentage change (%),,,Road passenger transport services,Percentage change (%),Units,Undefined,-7.49706
2014,Percentage change (%),,,Water passenger transport services,Percentage change (%),Units,Undefined,-37.35824
2014,Percentage change (%),,,Air passenger transport services,Percentage change (%),Units,Undefined,2.51911
2014,Percentage change (%),,,Transport equipment rental services,Percentage change (%),Units,Undefined,-2.54658
2014,Percentage change (%),,,Travel agencies and other reservation services,Percentage change (%),Units,Undefined,-3.80956
2014,Percentage change (%),,,Cultural activities,Percentage change (%),Units,Undefined,-24.72084
2014,Percentage change (%),,,Sport and recreation activities,Percentage change (%),Units,Undefined,52.00314
2014,Percentage change (%),,,Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-53.94536
2014,Percentage change (%),,,Other consumption products,Percentage change (%),Units,Undefined,4.56666
2014,Percentage change (%),,,,Percentage change (%),Units,Undefined,0.62934
2015,Percentage change (%),,,Accommodation services for visitors,Percentage change (%),Units,Undefined,4.50509
2015,Percentage change (%),,,Food and beverage serving activities,Percentage change (%),Units,Undefined,2.88684
2015,Percentage change (%),,,Railway passenger transport services,Percentage change (%),Units,Undefined,0.31584
2015,Percentage change (%),,,Road passenger transport services,Percentage change (%),Units,Undefined,4.47773
2015,Percentage change (%),,,Water passenger transport services,Percentage change (%),Units,Undefined,-6.21622
2015,Percentage change (%),,,Air passenger transport services,Percentage change (%),Units,Undefined,3.26174
2015,Percentage change (%),,,Transport equipment rental services,Percentage change (%),Units,Undefined,1.33806
2015,Percentage change (%),,,Travel agencies and other reservation services,Percentage change (%),Units,Undefined,5.70901
2015,Percentage change (%),,,Cultural activities,Percentage change (%),Units,Undefined,2.42762
2015,Percentage change (%),,,Sport and recreation activities,Percentage change (%),Units,Undefined,1.37536
2015,Percentage change (%),,,Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-4.97652
2015,Percentage change (%),,,Other consumption products,Percentage change (%),Units,Undefined,3.03409
2015,Percentage change (%),,,,Percentage change (%),Units,Undefined,3.01155
2016,Percentage change (%),,,Accommodation services for visitors,Percentage change (%),Units,Undefined,-0.04905
2016,Percentage change (%),,,Food and beverage serving activities,Percentage change (%),Units,Undefined,9.92822
2016,Percentage change (%),,,Railway passenger transport services,Percentage change (%),Units,Undefined,6.56448
2016,Percentage change (%),,,Road passenger transport services,Percentage change (%),Units,Undefined,-32.54983
2016,Percentage change (%),,,Water passenger transport services,Percentage change (%),Units,Undefined,34.20508
2016,Percentage change (%),,,Air passenger transport services,Percentage change (%),Units,Undefined,6.66266
2016,Percentage change (%),,,Transport equipment rental services,Percentage change (%),Units,Undefined,117.04183
2016,Percentage change (%),,,Travel agencies and other reservation services,Percentage change (%),Units,Undefined,36.02434
2016,Percentage change (%),,,Cultural activities,Percentage change (%),Units,Undefined,77.42059
2016,Percentage change (%),,,Sport and recreation activities,Percentage change (%),Units,Undefined,-21.24224
2016,Percentage change (%),,,Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,89.13719
2016,Percentage change (%),,,Other consumption products,Percentage change (%),Units,Undefined,19.07789
2016,Percentage change (%),,,,Percentage change (%),Units,Undefined,12.75453
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Accommodation services for visitors,Percentage (%),Units,Undefined,0.3011
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,0.20272
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.02174
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.02834
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.02285
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.158
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Transport equipment rental services,Percentage (%),Units,Undefined,0.00682
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.00605
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Cultural activities,Percentage (%),Units,Undefined,0.01188
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Sport and recreation activities,Percentage (%),Units,Undefined,0.00918
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.00719
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Other consumption products,Percentage (%),Units,Undefined,0.54998
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),,Percentage (%),Units,Undefined,1.32585
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Accommodation services for visitors,Percentage (%),Units,Undefined,0.29757
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,0.20057
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.02057
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.02765
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.0212
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.15357
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Transport equipment rental services,Percentage (%),Units,Undefined,0.00827
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.00577
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Cultural activities,Percentage (%),Units,Undefined,0.01173
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Sport and recreation activities,Percentage (%),Units,Undefined,0.00882
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.00541
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Other consumption products,Percentage (%),Units,Undefined,0.5574
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),,Percentage (%),Units,Undefined,1.31852
2015,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Accommodation services for visitors,Percentage (%),Units,Undefined,0.29396
2015,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,0.1978
2015,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.01937
2015,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.02747
2015,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.01985
2015,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.15269
2015,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Transport equipment rental services,Percentage (%),Units,Undefined,0.00836
2015,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.00587
2015,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Cultural activities,Percentage (%),Units,Undefined,0.01139
2015,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Sport and recreation activities,Percentage (%),Units,Undefined,0.00893
2015,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.0047
2015,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Other consumption products,Percentage (%),Units,Undefined,0.54913
2015,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),,Percentage (%),Units,Undefined,1.2995
2016,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Accommodation services for visitors,Percentage (%),Units,Undefined,0.27745
2016,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,0.18676
2016,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.01865
2016,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.02623
2016,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.01305
2016,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.1454
2016,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Transport equipment rental services,Percentage (%),Units,Undefined,0.00846
2016,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,0.00552
2016,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Cultural activities,Percentage (%),Units,Undefined,0.0108
2016,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Sport and recreation activities,Percentage (%),Units,Undefined,0.00864
2016,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,0.00651
2016,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Other consumption products,Percentage (%),Units,Undefined,0.58213
2016,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),,Percentage (%),Units,Undefined,1.28959
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Accommodation services for visitors,Percentage (%),Units,Undefined,0.0
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,0.00197
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.00209
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.00028
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.00186
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.02075
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Transport equipment rental services,Percentage (%),Units,Undefined,7e-05
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,6e-05
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Cultural activities,Percentage (%),Units,Undefined,0.00011
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Sport and recreation activities,Percentage (%),Units,Undefined,9e-05
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,7e-05
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Other consumption products,Percentage (%),Units,Undefined,0.00535
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),,Percentage (%),Units,Undefined,0.03269
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Accommodation services for visitors,Percentage (%),Units,Undefined,0.0
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Food and beverage serving activities,Percentage (%),Units,Undefined,0.00171
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Railway passenger transport services,Percentage (%),Units,Undefined,0.00191
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Road passenger transport services,Percentage (%),Units,Undefined,0.00023
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Water passenger transport services,Percentage (%),Units,Undefined,0.00157
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Air passenger transport services,Percentage (%),Units,Undefined,0.02014
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Transport equipment rental services,Percentage (%),Units,Undefined,7e-05
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Travel agencies and other reservation services,Percentage (%),Units,Undefined,5e-05
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Cultural activities,Percentage (%),Units,Undefined,0.0001
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Sport and recreation activities,Percentage (%),Units,Undefined,7e-05
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Exhibitions & Conferences etc.,Percentage (%),Units,Undefined,5e-05
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Other consumption products,Percentage (%),Units,Undefined,0.00474
