Year,Series,Sex,Age,Employment status,Number of hours per week providing care,Net weekly income (£),Units,Unit multiplier,Observation status,Value
2017/18,Informal carers,,65-74,,,,Percentage (%),Units,Normal value,11.0
2017/18,Informal carers,,75-84,,,,Percentage (%),Units,Normal value,9.0
2017/18,Informal carers,,85+,,,,Percentage (%),Units,Normal value,5.0
2017/18,Informal carers,Female,0-15,,,,Percentage (%),Units,Missing value,
2017/18,Informal carers,Female,16-24,,,,Percentage (%),Units,Normal value,4.0
2017/18,Informal carers,Female,25-34,,,,Percentage (%),Units,Normal value,6.0
2017/18,Informal carers,Female,35-44,,,,Percentage (%),Units,Normal value,9.0
2017/18,Informal carers,Female,45-54,,,,Percentage (%),Units,Normal value,14.0
2017/18,Informal carers,Female,55-64,,,,Percentage (%),Units,Normal value,18.0
2017/18,Informal carers,Female,65-74,,,,Percentage (%),Units,Normal value,12.0
2017/18,Informal carers,Female,75-84,,,,Percentage (%),Units,Normal value,8.0
2017/18,Informal carers,Female,85+,,,,Percentage (%),Units,Normal value,3.0
2017/18,Informal carers,Male,0-15,,,,Percentage (%),Units,Missing value,
2017/18,Informal carers,Male,16-24,,,,Percentage (%),Units,Normal value,3.0
2017/18,Informal carers,Male,25-34,,,,Percentage (%),Units,Normal value,3.0
2017/18,Informal carers,Male,35-44,,,,Percentage (%),Units,Normal value,5.0
2017/18,Informal carers,Male,45-54,,,,Percentage (%),Units,Normal value,9.0
2017/18,Informal carers,Male,55-64,,,,Percentage (%),Units,Normal value,11.0
2017/18,Informal carers,Male,65-74,,,,Percentage (%),Units,Normal value,9.0
2017/18,Informal carers,Male,75-84,,,,Percentage (%),Units,Normal value,11.0
2017/18,Informal carers,Male,85+,,,,Percentage (%),Units,Normal value,7.0
2017/18,Of all adult informal carers,,,In employment (all),,,Percentage (%),Units,Normal value,51.0
2017/18,Of all adult informal carers,,,Unemployed,,,Percentage (%),Units,Normal value,2.0
2017/18,Of all adult informal carers,,,Retired,,,Percentage (%),Units,Normal value,25.0
2017/18,Of all adult informal carers,,,Other economically inactive,,,Percentage (%),Units,Normal value,22.0
2017/18,Of all adult informal carers,Female,,In employment (all),,,Percentage (%),Units,Normal value,49.0
2017/18,Of all adult informal carers,Female,,Unemployed,,,Percentage (%),Units,Normal value,2.0
2017/18,Of all adult informal carers,Female,,Retired,,,Percentage (%),Units,Normal value,23.0
2017/18,Of all adult informal carers,Female,,Other economically inactive,,,Percentage (%),Units,Normal value,25.0
2017/18,Of all adult informal carers,Male,,In employment (all),,,Percentage (%),Units,Normal value,52.0
2017/18,Of all adult informal carers,Male,,Unemployed,,,Percentage (%),Units,Normal value,3.0
2017/18,Of all adult informal carers,Male,,Retired,,,Percentage (%),Units,Normal value,27.0
2017/18,Of all adult informal carers,Male,,Other economically inactive,,,Percentage (%),Units,Normal value,18.0
2017/18,Of all adult informal carers,,,,0-4 hours,,Percentage (%),Units,Normal value,21.0
2017/18,Of all adult informal carers,,,,5-19 hours,,Percentage (%),Units,Normal value,32.0
2017/18,Of all adult informal carers,,,,20-34 hours,,Percentage (%),Units,Normal value,7.0
2017/18,Of all adult informal carers,,,,"Varies, less than 35 hours",,Percentage (%),Units,Normal value,6.0
2017/18,Of all adult informal carers,,,,35-49 hours,,Percentage (%),Units,Normal value,6.0
2017/18,Of all adult informal carers,,,,50 or more hours,,Percentage (%),Units,Normal value,16.0
2017/18,Of all adult informal carers,,,,"Varies, 35 or more hours",,Percentage (%),Units,Normal value,11.0
2017/18,Of all adult informal carers,,,,Unknown,,Percentage (%),Units,Normal value,1.0
2017/18,Of all adult informal carers,Female,,,0-4 hours,,Percentage (%),Units,Normal value,18.0
2017/18,Of all adult informal carers,Female,,,5-19 hours,,Percentage (%),Units,Normal value,34.0
2017/18,Of all adult informal carers,Female,,,20-34 hours,,Percentage (%),Units,Normal value,8.0
2017/18,Of all adult informal carers,Female,,,"Varies, less than 35 hours",,Percentage (%),Units,Normal value,6.0
2017/18,Of all adult informal carers,Female,,,35-49 hours,,Percentage (%),Units,Normal value,6.0
2017/18,Of all adult informal carers,Female,,,50 or more hours,,Percentage (%),Units,Normal value,17.0
2017/18,Of all adult informal carers,Female,,,"Varies, 35 or more hours",,Percentage (%),Units,Normal value,10.0
2017/18,Of all adult informal carers,Female,,,Unknown,,Percentage (%),Units,Normal value,1.0
2017/18,Of all adult informal carers,Male,,,0-4 hours,,Percentage (%),Units,Normal value,24.0
2017/18,Of all adult informal carers,Male,,,5-19 hours,,Percentage (%),Units,Normal value,30.0
2017/18,Of all adult informal carers,Male,,,20-34 hours,,Percentage (%),Units,Normal value,6.0
2017/18,Of all adult informal carers,Male,,,"Varies, less than 35 hours",,Percentage (%),Units,Normal value,7.0
2017/18,Of all adult informal carers,Male,,,35-49 hours,,Percentage (%),Units,Normal value,6.0
2017/18,Of all adult informal carers,Male,,,50 or more hours,,Percentage (%),Units,Normal value,14.0
2017/18,Of all adult informal carers,Male,,,"Varies, 35 or more hours",,Percentage (%),Units,Normal value,12.0
2017/18,Of all adult informal carers,Male,,,Unknown,,Percentage (%),Units,Missing value,1.0
2017/18,Of all adult informal carers,,,,,Less than £50,Percentage (%),Units,Normal value,7.0
2017/18,Of all adult informal carers,,,,,£50 - £99,Percentage (%),Units,Normal value,9.0
2017/18,Of all adult informal carers,,,,,£100 - £149,Percentage (%),Units,Normal value,8.0
2017/18,Of all adult informal carers,,,,,£150 - £199,Percentage (%),Units,Normal value,10.0
2017/18,Of all adult informal carers,,,,,£200 - £249,Percentage (%),Units,Normal value,10.0
2017/18,Of all adult informal carers,,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2017/18,Of all adult informal carers,,,,,£300 - £399,Percentage (%),Units,Normal value,16.0
2017/18,Of all adult informal carers,,,,,£400 - £499,Percentage (%),Units,Normal value,11.0
2017/18,Of all adult informal carers,,,,,£500 or more,Percentage (%),Units,Normal value,17.0
2017/18,Of all adult informal carers,Female,,,,Less than £50,Percentage (%),Units,Normal value,8.0
2017/18,Of all adult informal carers,Female,,,,£50 - £99,Percentage (%),Units,Normal value,11.0
2017/18,Of all adult informal carers,Female,,,,£100 - £149,Percentage (%),Units,Normal value,9.0
2017/18,Of all adult informal carers,Female,,,,£150 - £199,Percentage (%),Units,Normal value,12.0
2017/18,Of all adult informal carers,Female,,,,£200 - £249,Percentage (%),Units,Normal value,12.0
2017/18,Of all adult informal carers,Female,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2017/18,Of all adult informal carers,Female,,,,£300 - £399,Percentage (%),Units,Normal value,15.0
2017/18,Of all adult informal carers,Female,,,,£400 - £499,Percentage (%),Units,Normal value,10.0
2017/18,Of all adult informal carers,Female,,,,£500 or more,Percentage (%),Units,Normal value,12.0
2017/18,Of all adult informal carers,Male,,,,Less than £50,Percentage (%),Units,Normal value,6.0
2017/18,Of all adult informal carers,Male,,,,£50 - £99,Percentage (%),Units,Normal value,6.0
2017/18,Of all adult informal carers,Male,,,,£100 - £149,Percentage (%),Units,Normal value,6.0
2017/18,Of all adult informal carers,Male,,,,£150 - £199,Percentage (%),Units,Normal value,8.0
2017/18,Of all adult informal carers,Male,,,,£200 - £249,Percentage (%),Units,Normal value,7.0
2017/18,Of all adult informal carers,Male,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2017/18,Of all adult informal carers,Male,,,,£300 - £399,Percentage (%),Units,Normal value,19.0
2017/18,Of all adult informal carers,Male,,,,£400 - £499,Percentage (%),Units,Normal value,14.0
2017/18,Of all adult informal carers,Male,,,,£500 or more,Percentage (%),Units,Normal value,23.0
2016/17,Informal carers,,0-15,,,,Percentage (%),Units,Missing value,1.0
2016/17,Informal carers,,16-24,,,,Percentage (%),Units,Normal value,4.0
2016/17,Informal carers,,25-34,,,,Percentage (%),Units,Normal value,5.0
2016/17,Informal carers,,35-44,,,,Percentage (%),Units,Normal value,9.0
2016/17,Informal carers,,45-54,,,,Percentage (%),Units,Normal value,15.0
2016/17,Informal carers,,55-64,,,,Percentage (%),Units,Normal value,17.0
2016/17,Informal carers,,65-74,,,,Percentage (%),Units,Normal value,12.0
2016/17,Informal carers,,75-84,,,,Percentage (%),Units,Normal value,9.0
2016/17,Informal carers,,85+,,,,Percentage (%),Units,Normal value,8.0
2016/17,Informal carers,Female,0-15,,,,Percentage (%),Units,Missing value,1.0
2016/17,Informal carers,Female,16-24,,,,Percentage (%),Units,Normal value,5.0
2016/17,Informal carers,Female,25-34,,,,Percentage (%),Units,Normal value,7.0
2016/17,Informal carers,Female,35-44,,,,Percentage (%),Units,Normal value,12.0
2016/17,Informal carers,Female,45-54,,,,Percentage (%),Units,Normal value,18.0
2016/17,Informal carers,Female,55-64,,,,Percentage (%),Units,Normal value,20.0
2016/17,Informal carers,Female,65-74,,,,Percentage (%),Units,Normal value,13.0
2016/17,Informal carers,Female,75-84,,,,Percentage (%),Units,Normal value,9.0
2016/17,Informal carers,Female,85+,,,,Percentage (%),Units,Normal value,5.0
2016/17,Informal carers,Male,0-15,,,,Percentage (%),Units,Missing value,1.0
2016/17,Informal carers,Male,16-24,,,,Percentage (%),Units,Normal value,4.0
2016/17,Informal carers,Male,25-34,,,,Percentage (%),Units,Normal value,4.0
2016/17,Informal carers,Male,35-44,,,,Percentage (%),Units,Normal value,7.0
2016/17,Informal carers,Male,45-54,,,,Percentage (%),Units,Normal value,12.0
2016/17,Informal carers,Male,55-64,,,,Percentage (%),Units,Normal value,14.0
2016/17,Informal carers,Male,65-74,,,,Percentage (%),Units,Normal value,11.0
2016/17,Informal carers,Male,75-84,,,,Percentage (%),Units,Normal value,8.0
2016/17,Informal carers,Male,85+,,,,Percentage (%),Units,Normal value,12.0
2016/17,Of all adult informal carers,,,In employment (all),,,Percentage (%),Units,Normal value,53.0
2016/17,Of all adult informal carers,,,Unemployed,,,Percentage (%),Units,Normal value,3.0
2016/17,Of all adult informal carers,,,Retired,,,Percentage (%),Units,Normal value,24.0
2016/17,Of all adult informal carers,,,Other economically inactive,,,Percentage (%),Units,Normal value,21.0
2016/17,Of all adult informal carers,Female,,In employment (all),,,Percentage (%),Units,Normal value,51.0
2016/17,Of all adult informal carers,Female,,Unemployed,,,Percentage (%),Units,Normal value,2.0
2016/17,Of all adult informal carers,Female,,Retired,,,Percentage (%),Units,Normal value,22.0
2016/17,Of all adult informal carers,Female,,Other economically inactive,,,Percentage (%),Units,Normal value,25.0
2016/17,Of all adult informal carers,Male,,In employment (all),,,Percentage (%),Units,Normal value,55.0
2016/17,Of all adult informal carers,Male,,Unemployed,,,Percentage (%),Units,Normal value,3.0
2016/17,Of all adult informal carers,Male,,Retired,,,Percentage (%),Units,Normal value,26.0
2016/17,Of all adult informal carers,Male,,Other economically inactive,,,Percentage (%),Units,Normal value,16.0
2016/17,Of all adult informal carers,,,,0-4 hours,,Percentage (%),Units,Normal value,22.0
2016/17,Of all adult informal carers,,,,5-19 hours,,Percentage (%),Units,Normal value,34.0
2016/17,Of all adult informal carers,,,,20-34 hours,,Percentage (%),Units,Normal value,8.0
2016/17,Of all adult informal carers,,,,"Varies, less than 35 hours",,Percentage (%),Units,Normal value,5.0
2016/17,Of all adult informal carers,,,,35-49 hours,,Percentage (%),Units,Normal value,5.0
2016/17,Of all adult informal carers,,,,50 or more hours,,Percentage (%),Units,Normal value,14.0
2016/17,Of all adult informal carers,,,,"Varies, 35 or more hours",,Percentage (%),Units,Normal value,10.0
2016/17,Of all adult informal carers,,,,Unknown,,Percentage (%),Units,Missing value,
2016/17,Of all adult informal carers,Female,,,0-4 hours,,Percentage (%),Units,Normal value,20.0
2016/17,Of all adult informal carers,Female,,,5-19 hours,,Percentage (%),Units,Normal value,35.0
2016/17,Of all adult informal carers,Female,,,20-34 hours,,Percentage (%),Units,Normal value,8.0
2016/17,Of all adult informal carers,Female,,,"Varies, less than 35 hours",,Percentage (%),Units,Normal value,5.0
2016/17,Of all adult informal carers,Female,,,35-49 hours,,Percentage (%),Units,Normal value,6.0
2016/17,Of all adult informal carers,Female,,,50 or more hours,,Percentage (%),Units,Normal value,15.0
2016/17,Of all adult informal carers,Female,,,"Varies, 35 or more hours",,Percentage (%),Units,Normal value,10.0
2016/17,Of all adult informal carers,Female,,,Unknown,,Percentage (%),Units,Missing value,
2016/17,Of all adult informal carers,Male,,,0-4 hours,,Percentage (%),Units,Normal value,25.0
2016/17,Of all adult informal carers,Male,,,5-19 hours,,Percentage (%),Units,Normal value,32.0
2016/17,Of all adult informal carers,Male,,,20-34 hours,,Percentage (%),Units,Normal value,8.0
2016/17,Of all adult informal carers,Male,,,"Varies, less than 35 hours",,Percentage (%),Units,Normal value,6.0
2016/17,Of all adult informal carers,Male,,,35-49 hours,,Percentage (%),Units,Normal value,5.0
2016/17,Of all adult informal carers,Male,,,50 or more hours,,Percentage (%),Units,Normal value,14.0
2016/17,Of all adult informal carers,Male,,,"Varies, 35 or more hours",,Percentage (%),Units,Normal value,10.0
2016/17,Of all adult informal carers,Male,,,Unknown,,Percentage (%),Units,Missing value,
2016/17,Of all adult informal carers,,,,,Less than £50,Percentage (%),Units,Normal value,7.0
2016/17,Of all adult informal carers,,,,,£50 - £99,Percentage (%),Units,Normal value,9.0
2016/17,Of all adult informal carers,,,,,£100 - £149,Percentage (%),Units,Normal value,7.0
2016/17,Of all adult informal carers,,,,,£150 - £199,Percentage (%),Units,Normal value,11.0
2016/17,Of all adult informal carers,,,,,£200 - £249,Percentage (%),Units,Normal value,11.0
2016/17,Of all adult informal carers,,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2016/17,Of all adult informal carers,,,,,£300 or more,Percentage (%),Units,Normal value,44.0
2016/17,Of all adult informal carers,,,,,£400 - £499,Percentage (%),Units,Missing value,
2016/17,Of all adult informal carers,,,,,£500 or more,Percentage (%),Units,Missing value,
2016/17,Of all adult informal carers,Female,,,,Less than £50,Percentage (%),Units,Normal value,8.0
2016/17,Of all adult informal carers,Female,,,,£50 - £99,Percentage (%),Units,Normal value,10.0
2016/17,Of all adult informal carers,Female,,,,£100 - £149,Percentage (%),Units,Normal value,9.0
2016/17,Of all adult informal carers,Female,,,,£150 - £199,Percentage (%),Units,Normal value,13.0
2016/17,Of all adult informal carers,Female,,,,£200 - £249,Percentage (%),Units,Normal value,11.0
2016/17,Of all adult informal carers,Female,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2016/17,Of all adult informal carers,Female,,,,£300 or more,Percentage (%),Units,Normal value,38.0
2016/17,Of all adult informal carers,Female,,,,£400 - £499,Percentage (%),Units,Missing value,
2016/17,Of all adult informal carers,Female,,,,£500 or more,Percentage (%),Units,Missing value,
2016/17,Of all adult informal carers,Male,,,,Less than £50,Percentage (%),Units,Normal value,7.0
2016/17,Of all adult informal carers,Male,,,,£50 - £99,Percentage (%),Units,Normal value,6.0
2016/17,Of all adult informal carers,Male,,,,£100 - £149,Percentage (%),Units,Normal value,5.0
2016/17,Of all adult informal carers,Male,,,,£150 - £199,Percentage (%),Units,Normal value,9.0
2016/17,Of all adult informal carers,Male,,,,£200 - £249,Percentage (%),Units,Normal value,10.0
2016/17,Of all adult informal carers,Male,,,,£250 - £299,Percentage (%),Units,Normal value,10.0
2016/17,Of all adult informal carers,Male,,,,£300 or more,Percentage (%),Units,Normal value,53.0
2016/17,Of all adult informal carers,Male,,,,£400 - £499,Percentage (%),Units,Missing value,
2016/17,Of all adult informal carers,Male,,,,£500 or more,Percentage (%),Units,Missing value,
2015/16,Informal carers,,0-10,,,,Percentage (%),Units,Missing value,
2015/16,Informal carers,,11-15,,,,Percentage (%),Units,Missing value,1.0
2015/16,Informal carers,,16-24,,,,Percentage (%),Units,Normal value,3.0
2015/16,Informal carers,,25-34,,,,Percentage (%),Units,Normal value,5.0
2015/16,Informal carers,,35-44,,,,Percentage (%),Units,Normal value,8.0
2015/16,Informal carers,,45-54,,,,Percentage (%),Units,Normal value,13.0
2015/16,Informal carers,,55-64,,,,Percentage (%),Units,Normal value,16.0
2015/16,Informal carers,,65-74,,,,Percentage (%),Units,Normal value,12.0
2015/16,Informal carers,,75-84,,,,Percentage (%),Units,Normal value,10.0
2015/16,Informal carers,,85+,,,,Percentage (%),Units,Normal value,5.0
2015/16,Informal carers,Female,0-10,,,,Percentage (%),Units,Missing value,
2015/16,Informal carers,Female,11-15,,,,Percentage (%),Units,Normal value,1.0
2015/16,Informal carers,Female,16-24,,,,Percentage (%),Units,Normal value,4.0
2015/16,Informal carers,Female,25-34,,,,Percentage (%),Units,Normal value,6.0
2015/16,Informal carers,Female,35-44,,,,Percentage (%),Units,Normal value,10.0
2015/16,Informal carers,Female,45-54,,,,Percentage (%),Units,Normal value,16.0
2015/16,Informal carers,Female,55-64,,,,Percentage (%),Units,Normal value,19.0
2015/16,Informal carers,Female,65-74,,,,Percentage (%),Units,Normal value,13.0
2015/16,Informal carers,Female,75-84,,,,Percentage (%),Units,Normal value,9.0
2015/16,Informal carers,Female,85+,,,,Percentage (%),Units,Missing value,2.0
2015/16,Informal carers,Male,0-10,,,,Percentage (%),Units,Missing value,
2015/16,Informal carers,Male,11-15,,,,Percentage (%),Units,Normal value,1.0
2015/16,Informal carers,Male,16-24,,,,Percentage (%),Units,Normal value,2.0
2015/16,Informal carers,Male,25-34,,,,Percentage (%),Units,Normal value,3.0
2015/16,Informal carers,Male,35-44,,,,Percentage (%),Units,Normal value,6.0
2015/16,Informal carers,Male,45-54,,,,Percentage (%),Units,Normal value,10.0
2015/16,Informal carers,Male,55-64,,,,Percentage (%),Units,Normal value,13.0
2015/16,Informal carers,Male,65-74,,,,Percentage (%),Units,Normal value,11.0
2015/16,Informal carers,Male,75-84,,,,Percentage (%),Units,Normal value,10.0
2015/16,Informal carers,Male,85+,,,,Percentage (%),Units,Normal value,11.0
2015/16,Of all adult informal carers,,,In employment (all),,,Percentage (%),Units,Normal value,50.0
2015/16,Of all adult informal carers,,,Unemployed,,,Percentage (%),Units,Normal value,3.0
2015/16,Of all adult informal carers,,,Retired,,,Percentage (%),Units,Normal value,26.0
2015/16,Of all adult informal carers,,,Other economically inactive,,,Percentage (%),Units,Normal value,21.0
2015/16,Of all adult informal carers,Female,,In employment (all),,,Percentage (%),Units,Normal value,49.0
2015/16,Of all adult informal carers,Female,,Unemployed,,,Percentage (%),Units,Normal value,2.0
2015/16,Of all adult informal carers,Female,,Retired,,,Percentage (%),Units,Normal value,25.0
2015/16,Of all adult informal carers,Female,,Other economically inactive,,,Percentage (%),Units,Normal value,24.0
2015/16,Of all adult informal carers,Male,,In employment (all),,,Percentage (%),Units,Normal value,52.0
2015/16,Of all adult informal carers,Male,,Unemployed,,,Percentage (%),Units,Normal value,3.0
2015/16,Of all adult informal carers,Male,,Retired,,,Percentage (%),Units,Normal value,29.0
2015/16,Of all adult informal carers,Male,,Other economically inactive,,,Percentage (%),Units,Normal value,16.0
2015/16,Of all adult informal carers,,,,0-4 hours,,Percentage (%),Units,Normal value,23.0
2015/16,Of all adult informal carers,,,,5-19 hours,,Percentage (%),Units,Normal value,34.0
2015/16,Of all adult informal carers,,,,20-34 hours,,Percentage (%),Units,Normal value,8.0
2015/16,Of all adult informal carers,,,,35-49 hours,,Percentage (%),Units,Normal value,5.0
2015/16,Of all adult informal carers,,,,50 or more hours,,Percentage (%),Units,Normal value,13.0
2015/16,Of all adult informal carers,,,,"Varies, less than 35 hours",,Percentage (%),Units,Normal value,6.0
2015/16,Of all adult informal carers,,,,"Varies, 35 or more hours",,Percentage (%),Units,Normal value,11.0
2015/16,Of all adult informal carers,,,,Unknown,,Percentage (%),Units,Missing value,
2015/16,Of all adult informal carers,Female,,,0-4 hours,,Percentage (%),Units,Normal value,21.0
2015/16,Of all adult informal carers,Female,,,5-19 hours,,Percentage (%),Units,Normal value,37.0
2015/16,Of all adult informal carers,Female,,,20-34 hours,,Percentage (%),Units,Normal value,7.0
2015/16,Of all adult informal carers,Female,,,35-49 hours,,Percentage (%),Units,Normal value,5.0
2015/16,Of all adult informal carers,Female,,,50 or more hours,,Percentage (%),Units,Normal value,13.0
2015/16,Of all adult informal carers,Female,,,"Varies, less than 35 hours",,Percentage (%),Units,Normal value,5.0
2015/16,Of all adult informal carers,Female,,,"Varies, 35 or more hours",,Percentage (%),Units,Normal value,11.0
2015/16,Of all adult informal carers,Female,,,Unknown,,Percentage (%),Units,Missing value,
2015/16,Of all adult informal carers,Male,,,0-4 hours,,Percentage (%),Units,Normal value,27.0
2015/16,Of all adult informal carers,Male,,,5-19 hours,,Percentage (%),Units,Normal value,28.0
2015/16,Of all adult informal carers,Male,,,20-34 hours,,Percentage (%),Units,Normal value,9.0
2015/16,Of all adult informal carers,Male,,,35-49 hours,,Percentage (%),Units,Normal value,4.0
2015/16,Of all adult informal carers,Male,,,50 or more hours,,Percentage (%),Units,Normal value,14.0
2015/16,Of all adult informal carers,Male,,,"Varies, less than 35 hours",,Percentage (%),Units,Normal value,6.0
2015/16,Of all adult informal carers,Male,,,"Varies, 35 or more hours",,Percentage (%),Units,Normal value,11.0
2015/16,Of all adult informal carers,Male,,,Unknown,,Percentage (%),Units,Missing value,
2015/16,Of all adult informal carers,,,,,Less than £50,Percentage (%),Units,Normal value,6.0
2015/16,Of all adult informal carers,,,,,£50 - £99,Percentage (%),Units,Normal value,9.0
2015/16,Of all adult informal carers,,,,,£100 - £149,Percentage (%),Units,Normal value,8.0
2015/16,Of all adult informal carers,,,,,£150 - £199,Percentage (%),Units,Normal value,10.0
2015/16,Of all adult informal carers,,,,,£200 - £249,Percentage (%),Units,Normal value,11.0
2015/16,Of all adult informal carers,,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2015/16,Of all adult informal carers,,,,,£300 or more,Percentage (%),Units,Normal value,44.0
2015/16,Of all adult informal carers,,,,,£400 - £499,Percentage (%),Units,Missing value,
2015/16,Of all adult informal carers,,,,,£500 or more,Percentage (%),Units,Missing value,
2015/16,Of all adult informal carers,Female,,,,Less than £50,Percentage (%),Units,Normal value,7.0
2015/16,Of all adult informal carers,Female,,,,£50 - £99,Percentage (%),Units,Normal value,12.0
2015/16,Of all adult informal carers,Female,,,,£100 - £149,Percentage (%),Units,Normal value,10.0
2015/16,Of all adult informal carers,Female,,,,£150 - £199,Percentage (%),Units,Normal value,10.0
2015/16,Of all adult informal carers,Female,,,,£200 - £249,Percentage (%),Units,Normal value,12.0
2015/16,Of all adult informal carers,Female,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2015/16,Of all adult informal carers,Female,,,,£300 or more,Percentage (%),Units,Normal value,39.0
2015/16,Of all adult informal carers,Female,,,,£400 - £499,Percentage (%),Units,Missing value,
2015/16,Of all adult informal carers,Female,,,,£500 or more,Percentage (%),Units,Missing value,
2015/16,Of all adult informal carers,Male,,,,Less than £50,Percentage (%),Units,Normal value,5.0
2015/16,Of all adult informal carers,Male,,,,£50 - £99,Percentage (%),Units,Normal value,5.0
2015/16,Of all adult informal carers,Male,,,,£100 - £149,Percentage (%),Units,Normal value,6.0
2015/16,Of all adult informal carers,Male,,,,£150 - £199,Percentage (%),Units,Normal value,9.0
2015/16,Of all adult informal carers,Male,,,,£200 - £249,Percentage (%),Units,Normal value,11.0
2015/16,Of all adult informal carers,Male,,,,£250 - £299,Percentage (%),Units,Normal value,10.0
2015/16,Of all adult informal carers,Male,,,,£300 or more,Percentage (%),Units,Normal value,53.0
2015/16,Of all adult informal carers,Male,,,,£400 - £499,Percentage (%),Units,Missing value,
2015/16,Of all adult informal carers,Male,,,,£500 or more,Percentage (%),Units,Missing value,
2014/15,Informal carers,,0-10,,,,Percentage (%),Units,Missing value,
2014/15,Informal carers,,11-15,,,,Percentage (%),Units,Normal value,1.0
2014/15,Informal carers,,16-24,,,,Percentage (%),Units,Normal value,4.0
2014/15,Informal carers,,25-34,,,,Percentage (%),Units,Normal value,5.0
2014/15,Informal carers,,35-44,,,,Percentage (%),Units,Normal value,8.0
2014/15,Informal carers,,45-54,,,,Percentage (%),Units,Normal value,15.0
2014/15,Informal carers,,55-64,,,,Percentage (%),Units,Normal value,15.0
2014/15,Informal carers,,65-74,,,,Percentage (%),Units,Normal value,12.0
2014/15,Informal carers,,75-84,,,,Percentage (%),Units,Normal value,11.0
2014/15,Informal carers,,85+,,,,Percentage (%),Units,Normal value,4.0
2014/15,Informal carers,Female,0-10,,,,Percentage (%),Units,Missing value,
2014/15,Informal carers,Female,11-15,,,,Percentage (%),Units,Normal value,2.0
2014/15,Informal carers,Female,16-24,,,,Percentage (%),Units,Normal value,4.0
2014/15,Informal carers,Female,25-34,,,,Percentage (%),Units,Normal value,6.0
2014/15,Informal carers,Female,35-44,,,,Percentage (%),Units,Normal value,11.0
2014/15,Informal carers,Female,45-54,,,,Percentage (%),Units,Normal value,18.0
2014/15,Informal carers,Female,55-64,,,,Percentage (%),Units,Normal value,18.0
2014/15,Informal carers,Female,65-74,,,,Percentage (%),Units,Normal value,13.0
2014/15,Informal carers,Female,75-84,,,,Percentage (%),Units,Normal value,11.0
2014/15,Informal carers,Female,85+,,,,Percentage (%),Units,Normal value,3.0
2014/15,Informal carers,Male,0-10,,,,Percentage (%),Units,Missing value,
2014/15,Informal carers,Male,11-15,,,,Percentage (%),Units,Normal value,1.0
2014/15,Informal carers,Male,16-24,,,,Percentage (%),Units,Normal value,4.0
2014/15,Informal carers,Male,25-34,,,,Percentage (%),Units,Normal value,4.0
2014/15,Informal carers,Male,35-44,,,,Percentage (%),Units,Normal value,6.0
2014/15,Informal carers,Male,45-54,,,,Percentage (%),Units,Normal value,11.0
2014/15,Informal carers,Male,55-64,,,,Percentage (%),Units,Normal value,12.0
2014/15,Informal carers,Male,65-74,,,,Percentage (%),Units,Normal value,10.0
2014/15,Informal carers,Male,75-84,,,,Percentage (%),Units,Normal value,11.0
2014/15,Informal carers,,85+,,,,Percentage (%),Units,Normal value,7.0
2014/15,Of all adult informal carers,,,In employment (all),,,Percentage (%),Units,Normal value,45.0
2014/15,Of all adult informal carers,,,Unemployed,,,Percentage (%),Units,Normal value,3.0
2014/15,Of all adult informal carers,,,Retired,,,Percentage (%),Units,Normal value,24.0
2014/15,Of all adult informal carers,,,Other economically inactive,,,Percentage (%),Units,Normal value,20.0
2014/15,Of all adult informal carers,Female,,In employment (all),,,Percentage (%),Units,Normal value,45.0
2014/15,Of all adult informal carers,Female,,Unemployed,,,Percentage (%),Units,Normal value,2.0
2014/15,Of all adult informal carers,Female,,Retired,,,Percentage (%),Units,Normal value,24.0
2014/15,Of all adult informal carers,Female,,Other economically inactive,,,Percentage (%),Units,Normal value,23.0
2014/15,Of all adult informal carers,Male,,In employment (all),,,Percentage (%),Units,Normal value,45.0
2014/15,Of all adult informal carers,Male,,Unemployed,,,Percentage (%),Units,Normal value,5.0
2014/15,Of all adult informal carers,Male,,Retired,,,Percentage (%),Units,Normal value,24.0
2014/15,Of all adult informal carers,Male,,Other economically inactive,,,Percentage (%),Units,Normal value,14.0
2014/15,Of all adult informal carers,,,,0-4 hours,,Percentage (%),Units,Normal value,24.0
2014/15,Of all adult informal carers,,,,5-19 hours,,Percentage (%),Units,Normal value,34.0
2014/15,Of all adult informal carers,,,,20-34 hours,,Percentage (%),Units,Normal value,8.0
2014/15,Of all adult informal carers,,,,35-49 hours,,Percentage (%),Units,Normal value,5.0
2014/15,Of all adult informal carers,,,,50 or more hours,,Percentage (%),Units,Normal value,13.0
2014/15,Of all adult informal carers,,,,"Varies, less than 35 hours",,Percentage (%),Units,Normal value,6.0
2014/15,Of all adult informal carers,,,,"Varies, 35 or more hours",,Percentage (%),Units,Normal value,9.0
2014/15,Of all adult informal carers,,,,Unknown,,Percentage (%),Units,Missing value,
2014/15,Of all adult informal carers,Female,,,0-4 hours,,Percentage (%),Units,Normal value,22.0
