Year,Units,Sex,Relationship to perpetrator,Age,Ethnicity,Income,Disability status,Country of birth,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,,,North East,Undefined,Units,Percentage (%),E12000001,0.7908125689814519
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,,,North West,Undefined,Units,Percentage (%),E12000002,2.5403406294094917
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,,,Yorkshire and the Humber,Undefined,Units,Percentage (%),,3.8066307422643892
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,,,East Midlands,Undefined,Units,Percentage (%),E12000004,2.1914586864710057
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,,,West Midlands,Undefined,Units,Percentage (%),E12000005,2.19209744196077
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,,,East of England,Undefined,Units,Percentage (%),E12000006,1.763695596630727
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,,,London,Undefined,Units,Percentage (%),E12000007,3.658563128893083
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,,,South East,Undefined,Units,Percentage (%),E12000008,2.3151758131853195
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,,,South West,Undefined,Units,Percentage (%),E12000009,1.942680327497128
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,,,Wales,Undefined,Units,Percentage (%),W92000004,2.17294215181452
2017/18,Percentage of adults aged 16 to 59 (%),Men,,16 to 19,,,,,,Undefined,Units,Percentage (%),,2.2459419375175957
2017/18,Percentage of adults aged 16 to 59 (%),Men,,20 to 24,,,,,,Undefined,Units,Percentage (%),,3.588374999088877
2017/18,Percentage of adults aged 16 to 59 (%),Men,,25 to 34,,,,,,Undefined,Units,Percentage (%),,1.986826528654553
2017/18,Percentage of adults aged 16 to 59 (%),Men,,35 to 44,,,,,,Undefined,Units,Percentage (%),,0.22183265105367397
2017/18,Percentage of adults aged 16 to 59 (%),Men,,45 to 54,,,,,,Undefined,Units,Percentage (%),,0.18966016090811608
2017/18,Percentage of adults aged 16 to 59 (%),Men,,55 to 59,,,,,,Undefined,Units,Percentage (%),,0.10131581707150442
2017/18,Percentage of adults aged 16 to 74 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.9878906947931693
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,White,,,,,Undefined,Units,Percentage (%),,1.289414352630696
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,Mixed/Multiple ethnic groups,,,,,Undefined,Units,Percentage (%),,0.0
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,Asian/Asian British,,,,,Undefined,Units,Percentage (%),,0.4647311974489664
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,Percentage (%),,1.402220856766694
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,Other ethnic group,,,,,Undefined,Units,Percentage (%),,0.8833502318269788
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,"Less than £10,000",,,,Undefined,Units,Percentage (%),,0.0
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,"£10,000 to less than £20,000",,,,Undefined,Units,Percentage (%),,1.9903123295220688
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,"£20,000 to less than £30,000",,,,Undefined,Units,Percentage (%),,0.3870666090589527
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,"£30,000 to less than £40,000",,,,Undefined,Units,Percentage (%),,0.5730264623266098
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,"£40,000 to less than £50,000",,,,Undefined,Units,Percentage (%),,0.5604972425915797
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,"£50,000 or more",,,,Undefined,Units,Percentage (%),,1.7317691870589094
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,No income stated or not enough information provided,,,,Undefined,Units,Percentage (%),,1.2864787567477296
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,Disabled (GSS harmonised),,,Undefined,Units,Percentage (%),,1.089840298977148
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,Non-disabled (GSS harmonised),,,Undefined,Units,Percentage (%),,1.2011912433041296
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,,Born in UK,,Undefined,Units,Percentage (%),,1.3108296628390406
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,,Not born in UK,,Undefined,Units,Percentage (%),,0.6371066383434951
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,,,North East,Undefined,Units,Percentage (%),E12000001,0.5763529118716881
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,,,North West,Undefined,Units,Percentage (%),E12000002,1.1721942154285867
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,,,Yorkshire and the Humber,Undefined,Units,Percentage (%),,2.5715191327094256
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,,,East Midlands,Undefined,Units,Percentage (%),E12000004,0.855989640746082
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,,,West Midlands,Undefined,Units,Percentage (%),E12000005,0.20143385119938859
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,,,East of England,Undefined,Units,Percentage (%),E12000006,0.579073765267182
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,,,London,Undefined,Units,Percentage (%),E12000007,2.4212882727854104
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,,,South East,Undefined,Units,Percentage (%),E12000008,1.260060847993261
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,,,South West,Undefined,Units,Percentage (%),E12000009,0.44840596893361023
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,,,Wales,Undefined,Units,Percentage (%),W92000004,0.20068449100086339
2017/18,Percentage of adults aged 16 to 59 (%),Women,,16 to 19,,,,,,Undefined,Units,Percentage (%),,15.765318728511323
2017/18,Percentage of adults aged 16 to 59 (%),Women,,20 to 24,,,,,,Undefined,Units,Percentage (%),,10.072858843128325
2017/18,Percentage of adults aged 16 to 59 (%),Women,,25 to 34,,,,,,Undefined,Units,Percentage (%),,2.7960895766197185
2017/18,Percentage of adults aged 16 to 59 (%),Women,,35 to 44,,,,,,Undefined,Units,Percentage (%),,1.5846374307146591
2017/18,Percentage of adults aged 16 to 59 (%),Women,,45 to 54,,,,,,Undefined,Units,Percentage (%),,1.6991519254694507
2017/18,Percentage of adults aged 16 to 59 (%),Women,,55 to 59,,,,,,Undefined,Units,Percentage (%),,1.9879443370897891
2017/18,Percentage of adults aged 16 to 74 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,3.1637167244750337
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,White,,,,,Undefined,Units,Percentage (%),,3.565087259598908
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,Mixed/Multiple ethnic groups,,,,,Undefined,Units,Percentage (%),,6.665798848837354
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,Asian/Asian British,,,,,Undefined,Units,Percentage (%),,3.532645481943971
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,Percentage (%),,8.970713774337106
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,Other ethnic group,,,,,Undefined,Units,Percentage (%),,0.9325843673448013
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,"Less than £10,000",,,,Undefined,Units,Percentage (%),,5.973540176237726
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,"£10,000 to less than £20,000",,,,Undefined,Units,Percentage (%),,4.773448300826203
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,"£20,000 to less than £30,000",,,,Undefined,Units,Percentage (%),,3.823857021483824
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,"£30,000 to less than £40,000",,,,Undefined,Units,Percentage (%),,3.7258084852984474
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,"£40,000 to less than £50,000",,,,Undefined,Units,Percentage (%),,2.9249085359227265
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,"£50,000 or more",,,,Undefined,Units,Percentage (%),,3.3272893495778315
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,No income stated or not enough information provided,,,,Undefined,Units,Percentage (%),,3.904182535836093
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,,Disabled (GSS harmonised),,,Undefined,Units,Percentage (%),,6.267541156337666
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,,Non-disabled (GSS harmonised),,,Undefined,Units,Percentage (%),,3.4673782777944346
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,,,Born in UK,,Undefined,Units,Percentage (%),,3.969369004433475
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,,,Not born in UK,,Undefined,Units,Percentage (%),,3.240731663692055
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,,,,North East,Undefined,Units,Percentage (%),E12000001,0.99067221055655
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,,,,North West,Undefined,Units,Percentage (%),E12000002,4.018330709062895
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,,,,Yorkshire and the Humber,Undefined,Units,Percentage (%),,4.935791606702722
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,,,,East Midlands,Undefined,Units,Percentage (%),E12000004,3.393760710054132
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,,,,West Midlands,Undefined,Units,Percentage (%),E12000005,4.124530690186661
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,,,,East of England,Undefined,Units,Percentage (%),E12000006,2.8971117469360834
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,,,,London,Undefined,Units,Percentage (%),E12000007,4.919636579410367
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,,,,South East,Undefined,Units,Percentage (%),E12000008,3.450859308550772
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,,,,South West,Undefined,Units,Percentage (%),E12000009,3.559847632515889
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,,,,Wales,Undefined,Units,Percentage (%),W92000004,4.2607562810266115
2018/19,Percentage of adults aged 16 to 74 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.045404403800798
2018/19,Percentage of adults aged 16 to 74 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.9032232358131785
2018/19,Percentage of adults aged 16 to 74 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,3.149542309709856
2019/20,Percentage of adults aged 16 to 74 (%),,,,,,,,,Undefined,Units,Percentage (%),,1.6029147351808788
2019/20,Percentage of adults aged 16 to 74 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.6908211135906341
2019/20,Percentage of adults aged 16 to 74 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,2.4972390423687
2017/18,Percentage of adults aged 16 to 74 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.1295619103372122
2018/19,Percentage of adults aged 16 to 74 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.21802871698757195
2019/20,Percentage of adults aged 16 to 74 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.2000237143724308
2017/18,Percentage of adults aged 16 to 74 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.042335712003459106
2018/19,Percentage of adults aged 16 to 74 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.04038581367156201
2019/20,Percentage of adults aged 16 to 74 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.03833010950374911
2017/18,Percentage of adults aged 16 to 74 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.05254282472860601
2018/19,Percentage of adults aged 16 to 74 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.01805960694830049
2019/20,Percentage of adults aged 16 to 74 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.06582944860555523
2017/18,Percentage of adults aged 16 to 74 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.029863114375409238
2018/19,Percentage of adults aged 16 to 74 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0
2019/20,Percentage of adults aged 16 to 74 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.017012470384542917
2017/18,Percentage of adults aged 16 to 74 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.20700230113348167
2018/19,Percentage of adults aged 16 to 74 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.4117322296420006
2019/20,Percentage of adults aged 16 to 74 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.3316609734036738
2017/18,Percentage of adults aged 16 to 74 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.05479059060588366
2018/19,Percentage of adults aged 16 to 74 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.07939018465415568
2019/20,Percentage of adults aged 16 to 74 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.059214442846844795
