Year,Units,Violence type,Sex,Age,Ethnicity,Ethnic group,Disability status,Household income,Area type,Region,Highest qualification,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2008/09,(b) Sexual violence (%),,Women,,,,,,,,,,,,,3.7
2008/09,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,,,,,,,,,,,,1.0
2009/10,(b) Sexual violence (%),,Women,,,,,,,,,,,,,3.4
2009/10,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,,,,,,,,,,,,0.8
2010/11,(b) Sexual violence (%),,Women,,,,,,,,,,,,,3.8
2010/11,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,,,,,,,,,,,,1.2
2011/12,(b) Sexual violence (%),,Women,,,,,,,,,,,,,4.2
2011/12,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,,,,,,,,,,,,1.3
2012/13,(b) Sexual violence (%),,Women,,,,,,,,,,,,,3.0
2012/13,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,,,,,,,,,,,,1.0
2013/14,(b) Sexual violence (%),,Women,,,,,,,,,,,,,2.2
2013/14,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,,,,,,,,,,,,0.7
2014/15,(b) Sexual violence (%),,Women,,,,,,,,,,,,,2.7
2014/15,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,,,,,,,,,,,,0.7
2015/16,(b) Sexual violence (%),,Women,,,,,,,,,,,,,3.2
2015/16,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,,,,,,,,,,,,0.7
2016/17,(b) Sexual violence (%),,Women,,,,,,,,,,,,,3.1
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,,,,,,,,,,,,0.9
2017/18,(b) Sexual violence (%),,Women,,,,,,,,,,,,,4.2
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,,,,,,,,,,,,0.9
2004/05,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,1.2
2005/06,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,1.1
2006/07,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,1.2
2007/08,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,0.7
2008/09,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,0.7
2009/10,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,1.0
2010/11,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,0.9
2011/12,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,0.8
2012/13,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,0.8
2013/14,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,0.7
2014/15,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,0.6
2015/16,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,0.6
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,0.8
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,1.2
2004/05,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,3.4
2005/06,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,3.9
2006/07,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,4.0
2007/08,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,3.5
2008/09,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,3.0
2009/10,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,2.8
2010/11,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,2.9
2011/12,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,3.3
2012/13,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,2.3
2013/14,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,1.8
2014/15,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,2.4
2015/16,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,2.8
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,2.7
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,3.8
2004/05,(b) Sexual violence (%),,,,,,,,,,,,,,,2.6
2005/06,(b) Sexual violence (%),,,,,,,,,,,,,,,3.0
2006/07,(b) Sexual violence (%),,,,,,,,,,,,,,,2.9
2007/08,(b) Sexual violence (%),,,,,,,,,,,,,,,2.6
2008/09,(b) Sexual violence (%),,,,,,,,,,,,,,,2.2
2009/10,(b) Sexual violence (%),,,,,,,,,,,,,,,2.1
2010/11,(b) Sexual violence (%),,,,,,,,,,,,,,,2.3
2011/12,(b) Sexual violence (%),,,,,,,,,,,,,,,2.4
2012/13,(b) Sexual violence (%),,,,,,,,,,,,,,,1.9
2013/14,(b) Sexual violence (%),,,,,,,,,,,,,,,1.5
2014/15,(b) Sexual violence (%),,,,,,,,,,,,,,,1.7
2015/16,(b) Sexual violence (%),,,,,,,,,,,,,,,2.0
2016/17,(b) Sexual violence (%),,,,,,,,,,,,,,,2.0
2017/18,(b) Sexual violence (%),,,,,,,,,,,,,,,2.7
2004/05,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,,,,,,,,,,,,0.6
2005/06,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,,,,,,,,,,,,0.7
2006/07,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,,,,,,,,,,,,0.6
2007/08,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,,,,,,,,,,,,0.7
2008/09,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,,,,,,,,,,,,0.5
2009/10,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,,,,,,,,,,,,0.4
2010/11,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,,,,,,,,,,,,0.7
2011/12,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,,,,,,,,,,,,0.6
2012/13,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,,,,,,,,,,,,0.6
2013/14,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,,,,,,,,,,,,0.4
2014/15,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,,,,,,,,,,,,0.4
2015/16,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,,,,,,,,,,,,0.4
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,,,,,,,,,,,,0.5
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,,,,,,,,,,,,0.5
2004/05,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,2.3
2005/06,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,2.5
2006/07,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,2.6
2007/08,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,2.2
2008/09,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,1.9
2009/10,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,1.9
2010/11,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,1.9
2011/12,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,2.1
2012/13,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,1.6
2013/14,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,1.2
2014/15,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,1.5
2015/16,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,1.7
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,1.7
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,2.5
2016/17,(b) Sexual violence (%),,Men,16 to 19,,,,,,,,,,,,3.0
2016/17,(b) Sexual violence (%),,Women,16 to 19,,,,,,,,,,,,8.8
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,16 to 19,,,,,,,,,,,,3.0
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,16 to 19,,,,,,,,,,,,8.4
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,16 to 19,,,,,,,,,,,,0.0
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,16 to 19,,,,,,,,,,,,2.9
2016/17,(b) Sexual violence (%),,Men,20 to 24,,,,,,,,,,,,1.7
2016/17,(b) Sexual violence (%),,Women,20 to 24,,,,,,,,,,,,7.2
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,20 to 24,,,,,,,,,,,,1.7
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,20 to 24,,,,,,,,,,,,6.2
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,20 to 24,,,,,,,,,,,,0.0
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,20 to 24,,,,,,,,,,,,2.3
2016/17,(b) Sexual violence (%),,Men,25 to 34,,,,,,,,,,,,1.1
2016/17,(b) Sexual violence (%),,Women,25 to 34,,,,,,,,,,,,3.2
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,25 to 34,,,,,,,,,,,,1.0
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,25 to 34,,,,,,,,,,,,2.9
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,25 to 34,,,,,,,,,,,,0.1
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,25 to 34,,,,,,,,,,,,0.8
2016/17,(b) Sexual violence (%),,Men,35 to 44,,,,,,,,,,,,0.4
2016/17,(b) Sexual violence (%),,Women,35 to 44,,,,,,,,,,,,1.7
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,35 to 44,,,,,,,,,,,,0.3
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,35 to 44,,,,,,,,,,,,1.4
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,35 to 44,,,,,,,,,,,,0.1
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,35 to 44,,,,,,,,,,,,0.5
2016/17,(b) Sexual violence (%),,Men,45 to 54,,,,,,,,,,,,0.2
2016/17,(b) Sexual violence (%),,Women,45 to 54,,,,,,,,,,,,1.3
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,45 to 54,,,,,,,,,,,,0.2
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,45 to 54,,,,,,,,,,,,1.0
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,45 to 54,,,,,,,,,,,,0.0
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,45 to 54,,,,,,,,,,,,0.4
2016/17,(b) Sexual violence (%),,Men,55 to 59,,,,,,,,,,,,0.1
2016/17,(b) Sexual violence (%),,Women,55 to 59,,,,,,,,,,,,1.2
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,55 to 59,,,,,,,,,,,,0.1
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,55 to 59,,,,,,,,,,,,1.0
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,55 to 59,,,,,,,,,,,,0.0
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,55 to 59,,,,,,,,,,,,0.2
2017/18,(b) Sexual violence (%),,Men,16 to 19,,,,,,,,,,,,2.3
2017/18,(b) Sexual violence (%),,Women,16 to 19,,,,,,,,,,,,15.8
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,16 to 19,,,,,,,,,,,,2.2
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,16 to 19,,,,,,,,,,,,15.8
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,16 to 19,,,,,,,,,,,,0.0
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,16 to 19,,,,,,,,,,,,2.8
2017/18,(b) Sexual violence (%),,,16 to 19,,,,,,,,,,,,8.5
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,16 to 19,,,,,,,,,,,,8.4
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,16 to 19,,,,,,,,,,,,1.3
2017/18,(b) Sexual violence (%),,Men,20 to 24,,,,,,,,,,,,3.6
2017/18,(b) Sexual violence (%),,Women,20 to 24,,,,,,,,,,,,11.1
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,20 to 24,,,,,,,,,,,,3.6
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,20 to 24,,,,,,,,,,,,10.1
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,20 to 24,,,,,,,,,,,,0.0
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,20 to 24,,,,,,,,,,,,1.9
2017/18,(b) Sexual violence (%),,,20 to 24,,,,,,,,,,,,7.1
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,20 to 24,,,,,,,,,,,,6.6
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,20 to 24,,,,,,,,,,,,0.9
2017/18,(b) Sexual violence (%),,Men,25 to 34,,,,,,,,,,,,2.1
2017/18,(b) Sexual violence (%),,Women,25 to 34,,,,,,,,,,,,3.2
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,25 to 34,,,,,,,,,,,,2.0
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,25 to 34,,,,,,,,,,,,2.8
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,25 to 34,,,,,,,,,,,,0.2
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,25 to 34,,,,,,,,,,,,0.7
2017/18,(b) Sexual violence (%),,,25 to 34,,,,,,,,,,,,2.6
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,25 to 34,,,,,,,,,,,,2.4
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,25 to 34,,,,,,,,,,,,0.5
2017/18,(b) Sexual violence (%),,Men,35 to 44,,,,,,,,,,,,0.2
2017/18,(b) Sexual violence (%),,Women,35 to 44,,,,,,,,,,,,1.7
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,35 to 44,,,,,,,,,,,,0.2
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,35 to 44,,,,,,,,,,,,1.6
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,35 to 44,,,,,,,,,,,,0.0
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,35 to 44,,,,,,,,,,,,0.2
2017/18,(b) Sexual violence (%),,,35 to 44,,,,,,,,,,,,1.0
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,35 to 44,,,,,,,,,,,,0.9
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,35 to 44,,,,,,,,,,,,0.1
2017/18,(b) Sexual violence (%),,Men,45 to 54,,,,,,,,,,,,0.2
2017/18,(b) Sexual violence (%),,Women,45 to 54,,,,,,,,,,,,2.1
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,45 to 54,,,,,,,,,,,,0.2
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,45 to 54,,,,,,,,,,,,1.7
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,45 to 54,,,,,,,,,,,,0.0
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,45 to 54,,,,,,,,,,,,0.8
2017/18,(b) Sexual violence (%),,,45 to 54,,,,,,,,,,,,1.2
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,45 to 54,,,,,,,,,,,,1.0
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,45 to 54,,,,,,,,,,,,0.4
2017/18,(b) Sexual violence (%),,Men,55 to 59,,,,,,,,,,,,0.1
2017/18,(b) Sexual violence (%),,Women,55 to 59,,,,,,,,,,,,2.7
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,55 to 59,,,,,,,,,,,,0.1
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,55 to 59,,,,,,,,,,,,2.0
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,55 to 59,,,,,,,,,,,,0.0
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,55 to 59,,,,,,,,,,,,0.8
2017/18,(b) Sexual violence (%),,,55 to 59,,,,,,,,,,,,1.4
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,55 to 59,,,,,,,,,,,,1.1
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,55 to 59,,,,,,,,,,,,0.4
2016/17,(b) Sexual violence (%),,Men,,White,,,,,,,,,,,0.9
2016/17,(b) Sexual violence (%),,Women,,White,,,,,,,,,,,3.1
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,,White,,,,,,,,,,,0.8
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,,White,,,,,,,,,,,2.7
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,White,,,,,,,,,,,0.0
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,White,,,,,,,,,,,0.8
2016/17,(b) Sexual violence (%),,Men,,Mixed/multiple ethnic groups,,,,,,,,,,,1.4
2016/17,(b) Sexual violence (%),,Women,,Mixed/multiple ethnic groups,,,,,,,,,,,8.6
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,,Mixed/multiple ethnic groups,,,,,,,,,,,1.4
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,,Mixed/multiple ethnic groups,,,,,,,,,,,7.9
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,Mixed/multiple ethnic groups,,,,,,,,,,,0.0
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,Mixed/multiple ethnic groups,,,,,,,,,,,3.4
2016/17,(b) Sexual violence (%),,Men,,Asian/Asian British,,,,,,,,,,,0.5
2016/17,(b) Sexual violence (%),,Women,,Asian/Asian British,,,,,,,,,,,1.5
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,,Asian/Asian British,,,,,,,,,,,0.5
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,,Asian/Asian British,,,,,,,,,,,1.4
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,Asian/Asian British,,,,,,,,,,,0.1
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,Asian/Asian British,,,,,,,,,,,0.3
2016/17,(b) Sexual violence (%),,Men,,Black/Black British,,,,,,,,,,,0.0
2016/17,(b) Sexual violence (%),,Women,,Black/Black British,,,,,,,,,,,3.8
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,,Black/Black British,,,,,,,,,,,0.0
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,,Black/Black British,,,,,,,,,,,3.5
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,Black/Black British,,,,,,,,,,,0.0
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,Black/Black British,,,,,,,,,,,1.6
2016/17,(b) Sexual violence (%),,Men,,Other ethnic group,,,,,,,,,,,2.1
2016/17,(b) Sexual violence (%),,Women,,Other ethnic group,,,,,,,,,,,3.3
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,,Other ethnic group,,,,,,,,,,,1.3
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,,Other ethnic group,,,,,,,,,,,3.3
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,Other ethnic group,,,,,,,,,,,0.8
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,Other ethnic group,,,,,,,,,,,1.7
2017/18,(b) Sexual violence (%),,Men,,White,,,,,,,,,,,1.3
2017/18,(b) Sexual violence (%),,Women,,White,,,,,,,,,,,4.0
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,,White,,,,,,,,,,,1.3
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,,White,,,,,,,,,,,3.6
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,White,,,,,,,,,,,0.0
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,White,,,,,,,,,,,0.9
2017/18,(b) Sexual violence (%),,,,White,,,,,,,,,,,2.7
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,White,,,,,,,,,,,2.4
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,White,,,,,,,,,,,0.5
2017/18,(b) Sexual violence (%),,Men,,Mixed/multiple ethnic groups,,,,,,,,,,,0.0
2017/18,(b) Sexual violence (%),,Women,,Mixed/multiple ethnic groups,,,,,,,,,,,6.7
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,,Mixed/multiple ethnic groups,,,,,,,,,,,0.0
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,,Mixed/multiple ethnic groups,,,,,,,,,,,6.7
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,Mixed/multiple ethnic groups,,,,,,,,,,,0.0
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,Mixed/multiple ethnic groups,,,,,,,,,,,1.8
2017/18,(b) Sexual violence (%),,,,Mixed/multiple ethnic groups,,,,,,,,,,,3.7
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,Mixed/multiple ethnic groups,,,,,,,,,,,3.6
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,Mixed/multiple ethnic groups,,,,,,,,,,,1.0
2017/18,(b) Sexual violence (%),,Men,,Asian/Asian British,,,,,,,,,,,0.5
2017/18,(b) Sexual violence (%),,Women,,Asian/Asian British,,,,,,,,,,,3.6
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,,Asian/Asian British,,,,,,,,,,,0.5
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,,Asian/Asian British,,,,,,,,,,,3.5
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,Asian/Asian British,,,,,,,,,,,0.3
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,Asian/Asian British,,,,,,,,,,,0.5
2017/18,(b) Sexual violence (%),,,,Asian/Asian British,,,,,,,,,,,1.8
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,Asian/Asian British,,,,,,,,,,,1.8
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,Asian/Asian British,,,,,,,,,,,0.4
2017/18,(b) Sexual violence (%),,Men,,Black/African/Caribbean/Black British,,,,,,,,,,,1.9
2017/18,(b) Sexual violence (%),,Women,,Black/African/Caribbean/Black British,,,,,,,,,,,9.2
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,,Black/African/Caribbean/Black British,,,,,,,,,,,1.4
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,,Black/African/Caribbean/Black British,,,,,,,,,,,9.0
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,Black/African/Caribbean/Black British,,,,,,,,,,,0.4
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,Black/African/Caribbean/Black British,,,,,,,,,,,1.7
2017/18,(b) Sexual violence (%),,,,Black/African/Caribbean/Black British,,,,,,,,,,,6.0
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,Black/African/Caribbean/Black British,,,,,,,,,,,5.7
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,Black/African/Caribbean/Black British,,,,,,,,,,,1.1
2017/18,(b) Sexual violence (%),,Men,,Other ethnic group,,,,,,,,,,,0.9
2017/18,(b) Sexual violence (%),,Women,,Other ethnic group,,,,,,,,,,,1.0
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,,Other ethnic group,,,,,,,,,,,0.9
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,,Other ethnic group,,,,,,,,,,,0.9
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,Other ethnic group,,,,,,,,,,,0.0
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,Other ethnic group,,,,,,,,,,,0.0
2017/18,(b) Sexual violence (%),,,,Other ethnic group,,,,,,,,,,,0.9
2017/18,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,,,Other ethnic group,,,,,,,,,,,0.9
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,,,Other ethnic group,,,,,,,,,,,0.0
2016/17,(b) Sexual violence (%),,Men,,,,,"Less than £10,000",,,,,,,,1.7
2016/17,(b) Sexual violence (%),,Women,,,,,"Less than £10,000",,,,,,,,2.8
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,,,,,"Less than £10,000",,,,,,,,1.7
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,,,,,"Less than £10,000",,,,,,,,2.0
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,,,,"Less than £10,000",,,,,,,,0.0
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,,,,"Less than £10,000",,,,,,,,1.2
2016/17,(b) Sexual violence (%),,Men,,,,,"£10,000 to less than £20,000",,,,,,,,0.6
2016/17,(b) Sexual violence (%),,Women,,,,,"£10,000 to less than £20,000",,,,,,,,2.7
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Men,,,,,"£10,000 to less than £20,000",,,,,,,,0.6
2016/17,(b) Sexual violence (%),Indecent exposure or unwanted sexual touching,Women,,,,,"£10,000 to less than £20,000",,,,,,,,2.1
